cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
21,0.322292,68.782581,2.3830964000E+02,3.5094340000E+01,238.3097420,35.0943724,0.1872,0.2212,0.0716,16.805,0.411,2.6,1.130E+00,13.065,0.062,17.6,1.022E+00,8.239,0.033,32.8,1.420E+00,6.123,0.100,10.8,1.357E+00,1,0,0.000,0.000,0.000,0.000,0000,CAAA,1,55228.884012,null,null,null,null,null,null,null
22,0.338148,54.534008,2.3830981700E+02,3.5094358000E+01,238.3099105,35.0944125,0.2232,0.2481,0.0844,16.201,0.246,4.4,9.713E-01,13.381,0.087,12.5,1.058E+00,8.259,0.037,29.2,8.400E-01,6.480,0.145,7.5,1.074E+00,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55228.884140,null,null,null,null,null,null,null
23,0.450861,74.627482,2.3837851500E+02,3.5045012000E+01,238.3786625,35.0450452,0.2188,0.2405,0.0763,16.345,0.288,3.8,5.052E-01,13.165,0.069,15.7,1.069E+00,8.304,0.035,30.8,1.333E+00,6.429,0.138,7.9,1.029E+00,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55228.950228,null,null,null,null,null,null,null
24,0.553046,49.925711,2.3844750300E+02,3.4995493000E+01,238.4476465,34.9955919,0.2341,0.2508,0.0623,16.864,0.461,2.4,8.063E-01,13.216,0.073,14.8,6.884E-01,8.312,0.037,29.3,9.111E-01,6.691,0.171,6.3,1.383E+00,1,0,0.000,0.000,0.000,0.000,0000,CAAB,1,55229.016444,null,null,null,null,null,null,null
25,0.395602,57.526855,2.3851642700E+02,3.4945766000E+01,238.5165401,34.9458250,0.2093,0.2281,0.0855,16.338,0.268,4.0,1.044E+00,13.099,0.061,17.8,9.092E-01,8.225,0.036,30.4,5.405E-01,6.119,0.104,10.4,9.706E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAA,1,55229.082532,null,null,null,null,null,null,null
26,0.322577,63.700875,2.3851660400E+02,3.4945783000E+01,238.5167020,34.9458227,0.2194,0.2498,0.0790,16.240,0.247,4.4,1.480E+00,13.264,0.076,14.3,9.381E-01,8.211,0.038,28.9,1.108E+00,6.173,0.121,8.9,8.922E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55229.082660,null,null,null,null,null,null,null
27,0.448126,66.518069,2.3858564200E+02,3.4895864000E+01,238.5857812,34.8959136,0.2031,0.2272,0.0647,16.157,0.244,4.5,8.663E-01,13.091,0.065,16.6,7.735E-01,8.218,0.033,32.9,5.427E-01,6.165,0.122,8.9,1.317E+00,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55229.148748,null,null,null,null,null,null,null
29,0.242042,73.495920,2.3872423700E+02,3.4795463000E+01,238.7243155,34.7954821,0.1922,0.2089,0.0531,15.862,0.187,5.8,1.509E+00,12.916,0.056,19.5,2.546E+00,8.223,0.033,33.3,1.498E+00,6.270,0.119,9.1,7.517E-01,1,0,0.000,0.000,0.000,0.047,0000,BAAB,1,55229.281052,null,null,null,null,null,null,null
31,0.340524,67.301870,2.3879379700E+02,3.4744979000E+01,238.7939032,34.7450155,0.1992,0.2338,0.0735,16.082,0.232,4.7,1.986E+00,13.088,0.064,17.1,7.641E-01,8.147,0.033,33.2,1.222E+00,6.238,0.123,8.9,8.369E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55229.347268,null,null,null,null,null,null,null
33,0.328481,56.621335,2.3907302000E+02,3.4541050000E+01,239.0731125,34.5411002,0.2181,0.2442,0.0439,17.024,0.518,2.1,1.261E+00,13.181,0.069,15.8,1.122E+00,8.379,0.038,29.0,7.905E-01,6.153,0.105,10.3,1.746E+00,1,0,0.000,0.000,0.000,0.000,0000,CAAA,1,55229.612004,null,null,null,null,null,null,null
34,0.399004,97.621569,2.3921325000E+02,3.4437882000E+01,239.2133832,34.4378673,0.1936,0.2139,0.0555,15.323,0.121,9.0,8.440E-01,12.978,0.061,17.8,9.721E-01,8.207,0.033,33.4,7.475E-01,6.276,0.140,7.8,6.043E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55229.744309,null,null,null,null,null,null,null
35,0.467795,41.514315,2.3935395600E+02,3.4333905000E+01,239.3540603,34.3340023,0.2031,0.2269,0.0502,16.231,0.274,4.0,1.061E+00,12.976,0.065,16.8,7.705E-01,8.199,0.035,31.1,8.140E-01,6.278,0.114,9.5,1.069E+00,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55229.876613,null,null,null,null,null,null,null
36,0.505306,38.335109,2.3949532000E+02,3.4229123000E+01,239.4954253,34.2292331,0.1771,0.1961,0.0443,16.024,0.213,5.1,1.382E+00,13.104,0.066,16.5,1.297E+00,8.137,0.029,37.6,1.043E+00,6.126,0.111,9.8,8.955E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55230.009044,null,null,null,null,null,null,null
37,0.378883,53.162175,2.4273372500E+02,3.1698534000E+01,242.7338240,31.6985971,0.1930,0.2223,0.0612,15.750,0.162,6.7,7.435E-01,12.912,0.057,19.1,1.997E+00,8.084,0.033,33.3,1.130E+00,6.258,0.143,7.6,6.875E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55232.920620,null,null,null,null,null,null,null
