cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
10,3.674521,-177.463178,1.9837836000E+02,-1.1479443000E+01,198.3783139,-11.4804627,0.7730,0.8088,0.2064,15.357,0.147,7.4,1.149E+00,14.704,0.231,4.7,6.054E-01,11.062,0.429,2.5,7.670E-01,7.645,null,0.3,5.966E-01,1,0,0.000,0.000,0.000,0.000,0000,BBCU,0,55210.565713,266824638,17.406,0.270,15.939,0.162,15.340,0.186
11,3.922267,-173.777688,1.9837837200E+02,-1.1479438000E+01,198.3782515,-11.4805211,0.7245,0.7168,-0.1544,15.220,0.126,8.6,4.307E-01,14.761,0.252,4.3,8.569E-01,10.638,null,1.8,1.454E+00,7.807,null,null,6.175E-01,1,0,0.000,0.000,0.000,0.000,0000,BBUU,0,55210.565841,266824638,17.406,0.270,15.939,0.162,15.340,0.186
14,4.587830,-12.456117,1.9840594300E+02,-1.1492883000E+01,198.4056625,-11.4916386,1.0338,1.0460,-0.1281,15.670,0.174,6.3,4.881E-01,14.917,null,1.9,9.922E-01,11.125,null,0.4,1.113E+00,7.746,null,0.1,1.643E+00,1,0,0.000,0.000,0.000,0.000,0000,BUUU,0,55210.896666,266842961,16.866,0.169,16.124,0.173,15.826,0.297
