cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
3,3.493609,-154.090049,4.0890242000E+01,1.6779467000E+01,40.8897991,16.7785941,1.5280,1.6244,-0.4659,16.141,0.308,3.5,1.041E+00,15.060,null,1.1,1.134E+00,11.312,null,null,9.379E-01,7.775,null,null,7.452E-01,1,0,0.000,0.000,0.000,0.000,0000,BUUU,0,55225.287857,null,null,null,null,null,null,null
5,1.958399,-16.124141,4.0899192000E+01,1.6781503000E+01,40.8990342,16.7820256,0.6848,0.7800,-0.2622,15.229,0.124,8.7,1.203E+00,15.286,0.425,2.6,9.077E-01,11.327,null,null,1.416E+00,7.692,null,0.3,1.085E+00,1,0,0.000,0.000,0.000,0.000,0000,BCUU,0,55225.420161,null,null,null,null,null,null,null
6,2.502049,-9.490937,4.0899201000E+01,1.6781496000E+01,40.8990813,16.7821815,0.7999,0.9558,-0.2743,15.579,0.161,6.7,9.721E-01,14.777,0.282,3.8,7.159E-01,10.934,null,0.9,6.167E-01,7.449,null,0.8,1.140E+00,1,0,0.000,0.000,0.000,0.000,000l,BBUU,0,55225.420288,null,null,null,null,null,null,null
