cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
10,2.096693,157.325603,2.7376428000E+02,-2.1852636000E+01,273.7645219,-21.8531734,0.0442,0.0445,-0.0128,7.817,0.017,64.0,4.553E+00,7.104,0.011,98.4,1.586E+01,7.853,0.037,29.3,6.949E-01,6.833,0.215,5.0,4.344E+00,1,0,0.000,0.000,0.000,0.000,0h0d,AAAB,0,55279.376906,469200473,9.581,0.029,8.536,0.040,8.156,0.027
11,4.188991,119.066173,2.7379221800E+02,-2.1851760000E+01,273.7933138,-21.8523253,0.0714,0.0794,-0.0156,9.546,0.022,49.3,3.237E+00,9.679,0.018,58.8,2.966E+00,10.006,0.228,4.8,1.107E+00,7.709,0.482,2.3,1.148E+00,3,0,0.000,0.000,0.000,0.000,dd00,AABC,0,55279.442994,469327709,11.493,0.026,10.340,0.027,9.942,0.023
12,3.968959,119.757796,2.7379227400E+02,-2.1851734000E+01,273.7933052,-21.8522812,0.0894,0.0963,0.0055,9.750,0.026,41.9,3.474E+00,9.742,0.026,41.3,1.362E+00,9.844,0.181,6.0,1.435E+00,7.199,null,0.6,8.124E-01,1,0,0.000,0.000,0.000,0.000,dd00,AABU,0,55279.443122,469327709,11.493,0.026,10.340,0.027,9.942,0.023
14,3.815368,-137.413435,2.7384815300E+02,-2.1849943000E+01,273.8473803,-21.8507233,0.2729,0.3150,0.0419,12.158,0.053,20.5,6.262E+00,12.765,0.164,6.6,7.993E-01,10.966,null,0.4,1.241E+00,7.530,null,null,8.430E-01,1,0,0.000,0.000,0.000,0.000,000d,ABUU,0,55279.575426,469327693,13.727,0.037,12.763,0.030,12.393,0.026
16,1.840023,-173.179141,2.7395970000E+02,-2.1846304000E+01,273.9596346,-21.8468115,0.2065,0.2040,0.0219,11.885,0.043,25.5,1.250E+01,12.171,0.073,14.8,3.041E+00,10.490,0.329,3.3,8.072E-01,7.297,0.394,2.8,1.071E+00,1,0,0.000,0.000,0.000,0.000,hh00,AABC,0,55279.840034,469386259,13.666,0.065,12.706,0.057,12.359,0.055
