cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
2,2.228196,68.991118,3.1789087400E+02,-1.7637809000E+01,317.8914803,-17.6375871,0.7339,0.7277,-0.2457,15.144,0.134,8.1,8.320E-01,14.333,0.246,4.4,7.146E-01,11.103,0.454,2.4,1.405E+00,7.466,null,0.8,1.264E+00,1,0,0.000,0.000,0.000,0.000,0000,BBCU,0,55320.130168,654612261,16.380,0.115,15.438,0.123,15.490,0.212
12,2.882133,-10.494697,3.1840149700E+02,-1.7618919000E+01,318.4013440,-17.6181318,2.5226,2.5469,-0.5028,16.246,null,1.2,8.224E-01,14.877,null,0.2,1.199E+00,11.121,null,null,9.099E-01,7.018,null,1.9,2.179E+00,1,0,0.000,0.000,0.000,0.000,0000,UUUU,0,55321.056424,null,null,null,null,null,null,null
42,1.851736,-32.544815,3.2114861800E+02,-1.7538541000E+01,321.1483278,-17.5381074,0.0887,0.0963,0.0276,11.472,0.024,45.9,1.478E+00,11.543,0.030,36.1,1.789E+00,10.923,null,0.9,8.857E-01,7.509,null,0.6,9.391E-01,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55326.150327,1108967736,11.953,0.026,11.573,0.026,11.537,0.023
