cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
123,0.747944,31.629880,7.8736528000E+01,-6.6733160000E+00,78.7366377,-6.6731391,0.6966,0.8090,0.0571,16.333,0.289,3.8,1.265E+00,15.103,0.385,2.8,7.570E-01,9.736,0.112,9.7,1.662E+00,7.756,0.467,2.3,1.123E+00,1,0,0.000,0.000,0.000,0.000,0000,BCBC,1,55258.563795,null,null,null,null,null,null,null
124,0.305883,-91.753524,7.8838776000E+01,-6.6325120000E+00,78.8386905,-6.6325146,0.6842,0.8156,0.0919,17.151,null,null,7.533E-01,14.843,0.249,4.4,7.459E-01,9.764,0.114,9.6,8.503E-01,7.242,0.274,4.0,1.005E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBB,1,55258.696099,null,null,null,null,null,null,null
125,0.457114,138.979298,7.8838886000E+01,-6.6325530000E+00,78.8389699,-6.6326488,1.0286,1.2559,-0.2644,16.672,null,1.2,8.234E-01,15.496,0.429,2.5,1.224E+00,10.078,0.150,7.2,9.260E-01,7.913,null,null,1.138E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55258.696226,null,null,null,null,null,null,null
126,4.055855,22.773165,7.8941237000E+01,-6.5917320000E+00,78.9416760,-6.5906932,0.2040,0.2036,0.0240,13.435,0.039,27.9,4.100E-01,13.499,0.092,11.8,1.154E+00,10.675,null,1.9,1.604E+00,7.621,0.415,2.6,2.205E+00,1,0,0.000,0.000,0.000,0.000,0000,AAUC,0,55258.828531,115695884,14.459,0.029,13.727,0.038,13.551,0.047
127,0.700292,155.209820,7.9043689000E+01,-6.5508910000E+00,79.0437711,-6.5510676,1.1437,1.2863,-0.0786,17.060,null,null,9.028E-01,15.303,0.376,2.9,1.491E+00,10.139,0.176,6.2,8.246E-01,7.700,0.456,2.4,7.595E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55258.960835,null,null,null,null,null,null,null
128,1.961128,11.925611,7.9146242000E+01,-6.5100290000E+00,79.1463553,-6.5094960,0.8081,0.9148,0.0221,16.324,0.297,3.7,8.395E-01,14.972,0.352,3.1,8.309E-01,9.924,0.124,8.7,1.745E+00,7.423,null,1.3,4.440E-01,1,0,0.000,0.000,0.000,0.000,0000,BBBU,1,55259.093139,null,null,null,null,null,null,null
129,1.046172,-57.696403,7.9248897000E+01,-6.4691510000E+00,79.2486498,-6.4689957,0.7995,1.0063,-0.1666,17.034,0.527,2.1,1.192E+00,14.996,0.312,3.5,1.400E+00,9.890,0.128,8.5,1.196E+00,7.296,null,1.7,1.179E+00,1,0,0.000,0.000,0.000,0.000,0000,CBBU,1,55259.225443,null,null,null,null,null,null,null
130,0.447569,-36.375303,7.9351767000E+01,-6.4282950000E+00,79.3516928,-6.4281949,0.8369,0.9503,-0.1819,16.281,0.325,3.3,1.183E+00,14.794,0.249,4.4,7.315E-01,10.056,0.152,7.2,8.844E-01,7.111,null,1.9,1.107E+00,1,0,0.000,0.000,0.000,0.000,0000,BBBU,1,55259.357875,null,null,null,null,null,null,null
131,0.779009,124.382675,7.9454627000E+01,-6.3873800000E+00,79.4548067,-6.3875022,1.1691,1.3269,-0.0961,16.907,null,null,1.246E+00,15.412,0.441,2.5,1.517E+00,10.182,0.174,6.2,1.394E+00,7.975,null,null,1.033E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55259.490179,null,null,null,null,null,null,null
132,0.404663,-50.763263,7.9557584000E+01,-6.3464430000E+00,79.5574964,-6.3463719,1.2573,1.4387,-0.3490,17.041,null,null,1.120E+00,15.678,null,null,1.804E+00,10.270,0.178,6.1,5.471E-01,7.123,null,1.9,1.281E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55259.622477,null,null,null,null,null,null,null
133,0.291594,63.453614,7.9660649000E+01,-6.3054930000E+00,79.6607219,-6.3054568,1.2914,1.5255,-0.3056,17.024,null,null,7.949E-01,15.689,null,null,1.355E+00,10.353,0.194,5.6,5.182E-01,7.902,0.512,2.1,7.778E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55259.754781,null,null,null,null,null,null,null
135,0.837780,-177.527229,7.9867197000E+01,-6.2235810000E+00,79.8671869,-6.2238135,0.9989,1.1253,-0.2799,16.790,0.457,2.4,9.863E-01,15.436,null,0.3,8.570E-01,9.837,0.143,7.6,7.343E-01,7.407,null,0.8,8.719E-01,1,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55260.019516,null,null,null,null,null,null,null
136,0.926371,150.335647,7.9970569000E+01,-6.1825780000E+00,79.9706971,-6.1828016,0.7303,0.8531,-0.1029,17.021,null,null,9.188E-01,15.500,null,0.4,8.567E-01,9.606,0.104,10.4,9.075E-01,7.453,0.363,3.0,9.784E-01,1,0,0.000,0.000,0.000,0.000,0000,UUAC,1,55260.151820,null,null,null,null,null,null,null
137,0.546099,22.546391,8.0074044000E+01,-6.1415600000E+00,80.0741025,-6.1414199,0.9966,1.1629,-0.2364,16.569,null,1.0,6.809E-01,15.044,0.307,3.5,9.915E-01,10.068,0.153,7.1,1.696E+00,7.483,null,1.1,1.409E+00,2,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55260.284124,null,null,null,null,null,null,null
138,0.576328,-47.235344,8.0177622000E+01,-6.1005250000E+00,80.1775038,-6.1004163,0.8599,0.9429,-0.2351,17.079,null,null,6.658E-01,14.784,0.246,4.4,1.128E+00,9.942,0.131,8.3,8.274E-01,7.223,null,2.0,7.301E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55260.416428,null,null,null,null,null,null,null
139,0.717238,3.777322,8.0177733000E+01,-6.1005650000E+00,80.1777462,-6.1003662,1.2855,1.5123,-0.3677,16.588,null,null,7.824E-01,14.815,0.264,4.1,7.011E-01,10.687,0.299,3.6,1.001E+00,7.774,null,null,1.566E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55260.416555,null,null,null,null,null,null,null
140,0.433954,-177.210211,8.0281414000E+01,-6.0595130000E+00,80.2814081,-6.0596334,1.5278,1.7551,-0.2976,16.846,null,null,1.624E+00,15.565,null,0.2,1.263E+00,10.271,0.223,4.9,8.736E-01,7.353,null,1.3,1.383E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55260.548859,null,null,null,null,null,null,null
141,0.999103,33.247470,8.0385197000E+01,-6.0184450000E+00,80.3853500,-6.0182129,1.0617,1.1860,-0.2400,17.084,null,null,7.615E-01,15.583,null,null,9.624E-01,9.977,0.153,7.1,7.428E-01,7.085,null,1.8,1.478E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55260.681163,null,null,null,null,null,null,null
