cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
49,2.902343,36.782779,9.8021476000E+01,-2.9890730000E+00,98.0219594,-2.9884273,0.4089,0.4371,-0.0529,15.241,0.135,8.1,3.529E+00,13.566,0.168,6.4,1.727E+00,9.055,0.068,16.1,2.572E+00,7.812,null,null,4.601E-01,1,0,0.000,0.000,0.000,0.000,0000,BBAU,0,55280.861031,null,null,null,null,null,null,null
50,0.491970,175.306084,9.8093264000E+01,-3.1460330000E+00,98.0932752,-3.1461692,0.4577,0.5088,0.0299,15.185,0.120,9.0,2.083E+00,14.300,0.289,3.8,7.373E-01,8.909,0.081,13.4,1.227E+00,7.165,0.297,3.7,9.879E-01,1,0,0.000,0.000,0.000,0.000,0000,BBAB,0,55280.927119,125233010,15.772,0.072,15.539,0.116,15.289,0.168
51,0.418090,-1.428487,9.8165211000E+01,-3.3032510000E+00,98.1652081,-3.3031349,0.3104,0.4053,0.0606,17.051,null,null,1.333E+00,13.856,0.130,8.3,5.136E-01,8.701,0.048,22.5,1.401E+00,7.310,null,0.6,1.432E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAU,0,55280.993208,null,null,null,null,null,null,null
52,1.383951,75.616027,9.8165399000E+01,-3.3039090000E+00,98.1657720,-3.3038135,0.4078,0.4690,0.0080,16.435,null,1.1,9.227E-01,14.513,0.278,3.9,1.205E+00,9.056,0.067,16.2,2.683E+00,6.304,0.132,8.2,1.762E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55280.993335,null,null,null,null,null,null,null
53,0.088337,162.481052,9.8237507000E+01,-3.4613760000E+00,98.2375144,-3.4613994,0.3616,0.4025,-0.0042,17.062,null,null,9.743E-01,13.772,0.120,9.0,7.426E-01,8.821,0.057,19.1,1.473E+00,7.234,0.319,3.4,1.300E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55281.059423,null,null,null,null,null,null,null
54,3.945960,-179.994783,9.8309780000E+01,-3.6191030000E+00,98.3097799,-3.6201991,0.3172,0.3391,-0.0155,14.390,0.067,16.1,2.880E+00,13.693,0.118,9.2,2.028E+00,9.568,0.118,9.2,8.613E+00,7.593,0.517,2.1,1.629E+00,2,0,0.000,0.000,0.000,0.000,0000,ABBC,0,55281.125512,125285321,14.957,0.040,14.544,0.044,14.427,0.081
56,3.216178,-156.793566,9.8382403000E+01,-3.7777370000E+00,98.3820502,-3.7785581,0.3832,0.3936,-0.0480,14.550,0.084,13.0,5.236E+00,13.652,0.104,10.5,3.625E+00,9.674,0.122,8.9,3.270E+00,7.667,0.486,2.2,1.123E+00,1,0,0.000,0.000,0.000,0.000,0000,AABC,0,55281.191727,125304254,14.707,0.032,14.296,0.030,14.193,0.073
57,0.152341,-91.624978,9.8455001000E+01,-3.9359650000E+00,98.4549586,-3.9359662,0.3640,0.4127,-0.0021,16.867,0.539,2.0,2.185E+00,13.819,0.125,8.7,1.353E+00,8.855,0.053,20.6,1.234E+00,7.412,0.340,3.2,1.343E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAB,0,55281.257816,null,null,null,null,null,null,null
58,0.296778,-99.566074,9.8527761000E+01,-4.0944340000E+00,98.5276795,-4.0944477,0.3915,0.4364,-0.0519,16.748,null,0.6,9.148E-01,13.948,0.140,7.8,1.513E+00,9.030,0.060,18.1,1.466E+00,7.177,0.267,4.1,1.617E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55281.323904,null,null,null,null,null,null,null
59,0.084823,-104.250371,9.8600685000E+01,-4.2531510000E+00,98.6006621,-4.2531568,0.4005,0.4963,0.1306,16.362,0.284,3.8,1.655E+00,14.009,0.131,8.3,1.377E+00,8.930,0.065,16.7,1.161E+00,7.580,0.389,2.8,1.129E+00,1,0,0.000,0.000,0.000,0.000,0000,BBAC,0,55281.389993,null,null,null,null,null,null,null
60,0.519854,90.357105,9.8600876000E+01,-4.2538140000E+00,98.6010208,-4.2538149,0.4942,0.5952,0.0795,16.279,null,1.6,1.036E+00,14.119,0.149,7.3,1.087E+00,8.994,0.080,13.6,6.787E-01,7.239,0.336,3.2,1.138E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55281.390120,null,null,null,null,null,null,null
61,0.321304,-134.269156,9.8673963000E+01,-4.4127660000E+00,98.6738989,-4.4128283,0.4047,0.4640,0.0557,16.402,null,1.5,1.057E+00,14.266,0.170,6.4,1.560E+00,9.051,0.061,17.8,2.760E+00,6.993,null,1.6,1.188E+00,2,0,0.000,0.000,0.000,0.000,00Pp,UBAU,0,55281.456208,null,null,null,null,null,null,null
62,0.262494,80.766368,9.8747215000E+01,-4.5719600000E+00,98.7472872,-4.5719483,0.4760,0.5768,0.1316,16.645,0.403,2.7,9.212E-01,14.404,0.200,5.4,1.254E+00,9.088,0.071,15.3,1.324E+00,7.533,0.386,2.8,9.515E-01,1,0,0.000,0.000,0.000,0.000,0000,CBAC,0,55281.522297,null,null,null,null,null,null,null
63,0.195323,-167.161547,9.8894405000E+01,-4.8917170000E+00,98.8943929,-4.8917699,0.3762,0.4249,0.0892,16.735,null,null,1.847E+00,13.699,0.114,9.5,1.049E+00,8.910,0.058,18.7,7.205E-01,7.135,0.266,4.1,7.546E-01,2,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55281.654601,null,null,null,null,null,null,null
64,4.090147,-66.721995,9.9042259000E+01,-5.2124130000E+00,99.0412110,-5.2119640,0.0632,0.0664,0.0097,10.004,0.019,57.1,2.277E+01,10.081,0.019,57.6,1.398E+01,9.071,0.078,13.8,4.348E+00,7.451,null,0.7,1.137E+00,1,0,0.000,0.000,0.000,0.000,0000,AAAU,0,55281.786905,135086461,10.455,0.023,10.192,0.022,10.138,0.021
65,0.215452,-2.287565,9.9190586000E+01,-5.5333460000E+00,99.1905836,-5.5332862,0.3708,0.4274,0.0945,16.382,null,1.5,1.523E+00,14.143,0.162,6.7,9.189E-01,8.893,0.054,20.0,1.181E+00,6.993,0.230,4.7,1.496E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55281.919081,null,null,null,null,null,null,null
66,0.391703,145.342135,9.9339775000E+01,-5.8558330000E+00,99.3398372,-5.8559225,0.4190,0.5570,-0.1253,16.219,null,1.9,2.277E+00,13.982,0.159,6.8,8.182E-01,8.799,0.067,16.2,8.685E-01,7.535,0.359,3.0,8.626E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,0,55282.051385,null,null,null,null,null,null,null
68,0.986114,-37.125846,9.9639987000E+01,-6.5027400000E+00,99.6398206,-6.5025216,0.4228,0.4748,0.1039,16.086,0.274,4.0,1.897E+00,14.392,0.196,5.5,1.862E+00,9.014,0.061,17.9,1.786E+00,7.407,0.333,3.3,1.651E+00,2,0,0.000,0.000,0.000,0.000,0000,BBAB,0,55282.315866,null,null,null,null,null,null,null
69,1.456024,-129.635531,9.9791211000E+01,-6.8277830000E+00,99.7908973,-6.8280410,0.2397,0.2880,-0.0469,14.600,0.074,14.6,2.734E+00,13.391,0.104,10.5,1.573E+00,8.712,0.047,23.0,3.196E+00,7.099,0.252,4.3,1.321E+00,1,0,0.000,0.000,0.000,0.000,0000,AAAB,0,55282.448170,167255053,16.564,0.115,15.783,0.157,15.312,0.174
70,0.368053,-25.340253,9.9943119000E+01,-7.1536260000E+00,99.9430749,-7.1535336,0.3451,0.3925,0.0442,17.050,null,null,1.156E+00,13.991,0.132,8.2,9.899E-01,8.859,0.052,20.8,1.701E+00,7.151,0.282,3.9,1.138E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55282.580474,null,null,null,null,null,null,null
