cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.392280,16.829062,3.1236229000E+02,-6.1303014000E+01,312.3623557,-61.3029097,0.3253,0.3662,0.0688,16.552,null,1.3,1.050E+00,14.559,0.188,5.8,1.341E+00,8.576,0.044,24.5,1.866E+00,6.666,0.184,5.9,4.879E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55302.871016,null,null,null,null,null,null,null
2,0.022600,-89.087288,3.1318761000E+02,-6.1128742000E+01,313.1875970,-61.1287419,0.3204,0.3655,-0.0968,16.507,null,1.7,8.588E-01,14.730,0.235,4.6,1.249E+00,8.687,0.046,23.4,5.521E-01,6.747,0.173,6.3,7.650E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55302.937232,null,null,null,null,null,null,null
7,3.507065,-41.510680,4.0592651000E+01,1.4926624000E+01,40.5919828,14.9273535,0.1781,0.1790,-0.0392,13.122,0.034,31.9,5.341E-01,13.159,0.074,14.6,7.181E-01,11.279,null,null,7.969E-01,7.810,null,null,1.266E+00,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55414.193854,323914580,13.823,0.024,13.304,0.026,13.143,0.030
