cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
8,2.080890,15.685312,1.2782094000E+02,-2.0831124000E+01,127.8211072,-20.8305675,1.1925,1.3779,0.4748,17.166,null,0.1,5.730E-01,15.292,0.366,3.0,7.145E-01,10.456,0.205,5.3,1.267E+00,7.824,0.463,2.3,1.161E+00,2,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55318.700544,null,null,null,null,null,null,null
9,2.766736,44.877495,1.2782045200E+02,-2.0831308000E+01,127.8210322,-20.8307634,1.4009,1.6903,0.4957,17.247,null,null,1.081E+00,15.609,0.526,2.1,1.035E+00,10.462,0.222,4.9,9.381E-01,7.390,null,1.4,6.194E-01,2,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55318.700671,null,null,null,null,null,null,null
10,0.220116,-7.643557,1.2755032700E+02,-2.0806056000E+01,127.5503183,-20.8059954,0.8582,0.9493,0.3634,17.089,null,null,6.702E-01,14.897,0.276,3.9,9.666E-01,9.825,0.121,9.0,1.207E+00,7.573,null,0.7,1.449E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55318.766760,null,null,null,null,null,null,null
