,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,7,4.254918,-137.406595,1.7695291400e+02,-1.1498543000e+01,176.9520977,-11.4994131,11h47m48.50s,-11d29m57.89s,0.5078,0.5365,0.1449,14.746,0.092,11.8,9.617e-01,14.787,0.260,4.2,9.842e-01,11.346,null,null,1.288e+00,7.873,null,null,1.209e+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55364.150944,270994066,15.765,0.061,15.026,0.064,14.794,0.115
1,8,3.858222,-130.406507,1.7695297300e+02,-1.1498607000e+01,176.9521402,-11.4993017,11h47m48.51s,-11d29m57.49s,0.5169,0.5676,-0.0948,14.779,0.092,11.8,8.568e-01,14.585,0.236,4.6,1.321e+00,11.373,null,null,1.415e+00,7.664,null,0.2,1.716e+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55364.151072,270994066,15.765,0.061,15.026,0.064,14.794,0.115
2,24,0.314683,35.118189,1.7730982900e+02,-1.1416760000e+01,177.3098803,-11.4166885,11h49m14.37s,-11d25m00.08s,1.5866,1.8063,0.3166,16.555,0.376,2.9,5.072e-01,14.891,0.328,3.3,1.454e+00,11.412,null,null,8.194e-01,7.655,null,null,1.262e+00,1,0,0.000,0.000,0.000,0.000,0000,CBUU,0,55365.077069,null,null,null,null,null,null,null
3,26,4.760456,-148.893033,1.7803401200e+02,-1.1265736000e+01,178.0333154,-11.2668682,11h52m08.00s,-11d16m00.73s,1.4071,1.3955,0.1914,15.786,null,null,4.508e+00,13.319,null,null,5.361e-01,8.177,null,0.8,7.498e-02,4.661,null,null,1.380e+00,1,0,0.000,0.000,0.000,0.000,000d,UUUU,0,55366.863234,null,null,null,null,null,null,null
