,Name,Diam,WiseData_time
194,2009 DL46,0.118,2016 05 17.696122
195,2009 DO111,0.082,-1
196,2009 EM1,0.078,-1
197,2009 EP2,0.142,-1
198,2009 EW,0.016,-1
199,2009 FH,0.014,-1
200,2009 FJ,0.031,-1
201,2009 FK,0.007,-1
202,2009 FP32,0.009,-1
203,2009 FX4,0.025,-1
204,2009 HG60,0.086,-1
205,2009 HK73,0.016,-1
206,2009 HM82,0.086,-1
207,2009 KL8,0.041,-1
208,2009 KW2,0.014,-1
209,2009 QH34,0.031,-1
210,2009 SH15,0.037,-1
211,2009 SH2,0.031,-1
212,2009 SK15,0.026,-1
213,2009 SN103,0.009,-1
214,2009 TM8,0.006,-1
215,2009 TO8,0.018,-1
216,2009 UD,0.011,-1
217,2009 UG,0.065,2016 09 27.590843
218,2009 UO3,0.075,-1
219,2009 UU1,0.034,-1
220,2009 UY19,0.062,-1
221,2009 WB,0.043,-1
222,2009 WV25,0.047,-1
223,2009 WV51,0.011,-1
224,2009 WW104,0.094,-1
225,2009 WY7,0.045,-1
226,2009 XO2,0.059,-1
227,2010 AE30,0.057,-1
228,2010 AF30,0.136,-1
229,2010 AG40,0.118,2010 01 24.61582
230,2010 AJ30,0.084,2010 02 16.01827
231,2010 AL30,0.011,-1
232,2010 AN2,0.108,-1
233,2010 BC,0.108,2010 01 25.47548
234,2010 BH115,0.0,2010 01 29.78830
235,2010 BK2,0.118,-1
236,2010 BT3,0.156,-1
237,2010 CA55,0.108,2010 02 04.718421
238,2010 CB55,0.086,2010 07 30.962838
239,2010 CC19,0.103,-1
240,2010 CC55,0.094,2010 02 11.086848
241,2010 CD55,0.065,-1
242,2010 CE55,0.108,-1
243,2010 CF55,0.136,-1
244,2010 CK1,0.047,-1
245,2010 CN141,0.098,2010 02 14.576164
246,2010 CO44,0.036,-1
247,2010 DG77,0.156,2010 02 19.17573
248,2010 DH77,0.156,2010 02 19.197885
249,2010 DL,0.012,-1
250,2010 DO,0.136,-1
251,2010 DX1,0.142,2010 02 11.60053
252,2010 EC43,0.075,-1
253,2010 EG21,0.039,-1
254,2010 EK43,0.142,-1
255,2010 EX11,0.045,2010 03 03.456067
256,2010 FA81,0.098,2010 03 10.400811
257,2010 FB81,0.156,2010 01 18.700777
258,2010 FC,0.047,-1
259,2010 FC81,0.13,2010 03 30.762265
260,2010 FD6,0.013,-1
261,2010 FD7,0.113,2010 04 16.87102
262,2010 FE7,0.054,2010 02 14.26177
263,2010 FF10,0.132,-1
264,2010 FG81,0.065,2010 03 11.310385
265,2010 FK,0.052,-1
266,2010 FR9,0.018,-1
267,2010 FS,0.043,-1
268,2010 FT,0.022,-1
269,2010 FW9,0.014,-1
270,2010 FX9,0.043,-1
271,2010 GB6,0.113,-1
272,2010 GC6,0.156,-1
273,2010 GF7,0.02,-1
274,2010 GH7,0.01,-1
275,2010 GL23,0.082,-1
276,2010 GP67,0.094,2010 04 11.570822
277,2010 GS7,0.149,2010 06 25.382809
278,2010 GT6,0.156,-1
279,2010 GX23,0.075,-1
280,2010 GZ5,0.082,-1
281,2010 HA,0.049,-1
282,2010 HF,0.017,-1
283,2010 HV20,0.124,-1
284,2010 HW81,0.156,2010 04 25.55942
285,2010 HX107,0.057,2010 04 20.207654
286,2010 HZ104,0.094,2010 04 23.72384
287,2010 JE88,0.149,-1
288,2010 JH3,0.026,-1
289,2010 JJ3,0.054,-1
290,2010 JL88,0.013,-1
291,2010 JN71,0.156,2010 05 12.11095
292,2010 JO71,0.049,-1
293,2010 JW39,0.037,-1
294,2010 JX16,0.0,2010 05 02.970118
295,2010 KA8,0.156,-1
296,2010 KK37,0.022,-1
297,2010 KO10,0.011,-1
298,2010 KP10,0.062,2010 04 16.94283
299,2010 KU7,0.108,2010 06 26.01058
300,2010 KV7,0.019,-1
301,2010 LB64,0.132,-1
302,2010 LH14,0.113,2010 06 02.80343
303,2010 LJ68,0.086,2010 06 11.740367
304,2010 LK34,0.124,-1
305,2010 LK61,0.124,-1
306,2010 LK68,0.094,2010 06 12.288937
307,2010 LL68,0.078,2010 06 12.72864
308,2010 LV108,0.09,2010 06 14.274514
309,2010 MG1,0.065,-1
310,2010 MP1,0.156,-1
311,2010 MY1,0.049,2010 06 25.76253
312,2010 NK1,0.098,-1
313,2010 NR1,0.13,-1
314,2010 NS36,0.0,2010 07 08.354556
315,2010 OH126,0.156,2010 07 31.517902
316,2010 PK9,0.13,-1
317,2010 PP58,0.113,2010 08 05.860102
318,2010 PU66,0.103,2010 08 03.559744
319,2010 PW58,0.136,2010 05 25.577039
320,2010 QA5,0.103,2010 08 29.98263
321,2010 QG2,0.041,-1
322,2010 RC130,0.108,-1
323,2010 RJ53,0.047,-1
324,2010 RQ64,0.017,-1
325,2010 SK13,0.01,-1
326,2010 TD54,0.005,-1
327,2010 TE55,0.007,-1
328,2010 TG19,0.049,-1
329,2010 TN4,0.009,-1
330,2010 TS19,0.021,-1
331,2010 UC7,0.034,-1
332,2010 UJ7,0.025,-1
333,2010 UX6,0.071,-1
334,2010 VB1,0.068,-1
335,2010 VD72,0.156,-1
336,2010 VK139,0.055,-1
337,2010 VO21,0.005,-1
338,2010 VT11,0.149,-1
339,2010 VW75,0.124,-1
340,2010 VZ11,0.023,-1
341,2010 WA,0.003,-1
342,2010 WA9,0.023,-1
