	Name	Diam	Class	H	time
139	2015 JJ2	0.13	S*	21.8	-1
140	2011 PX	0.13	S*	21.8	-1
141	2013 XV8	0.13	S*	21.8	-1
142	2012 DV32	0.13	S*	21.8	-1
143	2019 RC	0.13	S*	21.8	-1
144	2017 AE3	0.13	S*	21.8	-1
145	2012 BM86	0.125	S*	21.88	-1
146	2011 UL147	0.124	S*	21.9	-1
147	2011 OY17	0.124	S*	21.9	-1
148	2016 WP	0.124	S*	21.9	-1
149	2008 MP1	0.124	S*	21.9	-1
150	2010 LK61	0.124	S*	21.9	-1
151	2010 VW75	0.124	S*	21.9	-1
152	2016 PA8	0.124	S*	21.9	-1
153	2002 TP69	0.124	S*	21.89	-1
154	2010 LK34	0.124	S*	21.9	-1
155	2014 CU13	0.124	S*	21.9	-1
156	2012 GY17	0.124	S*	21.9	-1
157	2004 SS	0.124	S*	21.9	-1
158	2007 VH184	0.124	S*	21.9	-1
159	2004 KH17	0.124	S*	21.9	-1
160	2011 EM51	0.124	S*	21.9	-1
161	2000 SL10	0.124	S*	21.9	-1
162	2010 HV20	0.124	S*	21.9	-1
163	2012 KN11	0.124	S*	21.9	-1
164	2012 DE54	0.124	S*	21.9	-1
165	2012 BJ11	0.123	S*	21.92	-1
166	2011 JL	0.123	S*	21.92	-1
167	2009 SC15	0.122	S*	21.93	-1
168	2011 UW114	0.122	S*	21.93	-1
169	2014 AY28	0.122	S*	21.93	-1
170	2005 WD	0.121	S*	21.95	-1
171	2019 UN12	0.12	S*	21.96	-1
172	2010 DF1	0.119	S*	21.98	-1
173	2014 XF32	0.119	S*	21.98	-1
174	2021 NY1	0.119	S*	21.98	-1
175	2011 PZ	0.118	S*	22.0	-1
176	2013 NQ8	0.118	S*	22.0	-1
177	2020 ST1	0.118	S*	22.0	-1
178	2016 YM	0.118	S*	22.0	-1
179	2011 SH16	0.118	S*	22.0	-1
180	Derm7d	0.118	S*	22.0	0
181	2007 GQ3	0.118	S*	22.0	-1
182	2017 GM4	0.118	S*	22.0	-1
183	2005 XB1	0.118	S*	22.0	-1
184	2012 FG58	0.118	S*	22.0	-1
185	2016 NA1	0.118	S*	22.0	-1
186	2010 BK2	0.118	S*	22.0	-1
187	2011 QE2	0.118	S*	22.0	-1
188	Derm6k	0.117	S*	22.02	0
189	2018 UQ1	0.116	S*	22.05	-1
190	2016 YM1	0.113	S*	22.1	-1
191	2010 GB6	0.113	S*	22.1	-1
192	1998 WB2	0.113	S*	22.1	-1
193	2014 QQ33	0.113	S*	22.1	-1
194	2012 CM29	0.113	S*	22.1	-1
195	2007 TQ24	0.113	S*	22.1	-1
196	2009 FD	0.113	S*	22.1	-1
197	2004 VB61	0.113	S*	22.1	-1
198	2005 UO	0.113	S*	22.1	-1
199	2011 UV158	0.113	S*	22.1	-1
200	2007 CQ5	0.113	S*	22.1	-1
201	2012 GF1	0.113	S*	22.1	-1
202	2017 WX12	0.113	S*	22.13	-1
203	2018 AQ2	0.113	S*	22.1	-1
204	2013 NX	0.113	S*	22.1	-1
205	2016 PJ66	0.113	S*	22.1	-1
206	2019 CD5	0.112	S*	22.12	-1
207	2019 BF5	0.112	S*	21.67	-1
208	Derm7e	0.11	S*	22.14	0
