	Name	Diam	Class	H	time
607	2015 YD1	0.043	S*	24.2	-1
608	2015 QB	0.043	S*	24.2	-1
609	2010 FS	0.043	S*	24.2	-1
610	2011 OY4	0.043	S*	24.2	-1
611	2010 FX9	0.043	S*	24.2	-1
612	2011 OS15	0.043	S*	24.2	-1
613	2014 FF	0.043	S*	24.2	-1
614	2012 XO134	0.042	S*	24.26	-1
615	2017 BS5	0.042	S*	24.24	-1
616	2019 YW2	0.042	S*	24.25	-1
617	2016 WL7	0.041	S*	24.3	-1
618	2015 AK1	0.041	S*	24.3	-1
619	2014 SC324	0.041	S*	24.3	-1
620	2011 GP59	0.041	S*	24.3	-1
621	2015 HR1	0.041	S*	24.3	-1
622	2009 CV	0.041	S*	24.3	-1
623	2021 AZ	0.041	S*	24.3	-1
624	2010 QG2	0.041	S*	24.3	-1
625	2012 EG5	0.041	S*	24.3	-1
626	2004 GD2	0.041	S*	24.3	-1
627	2009 KL8	0.041	S*	24.3	-1
628	2014 WP4	0.041	S*	24.3	-1
629	2017 JM2	0.041	S*	24.3	-1
630	2014 YD	0.041	S*	24.3	-1
631	2011 AL37	0.041	S*	24.3	-1
632	2000 UO30	0.041	S*	24.3	-1
633	Kamo`oalewa	0.041	S*	24.3	0
634	2002 JR100	0.041	S*	24.3	-1
635	2016 AO131	0.041	S*	24.31	-1
636	2016 CJ30	0.04	S*	24.38	-1
637	2021 AU	0.04	S*	24.35	-1
638	2016 PA40	0.039	S*	24.4	-1
639	2010 EG21	0.039	S*	24.4	-1
640	2015 MX103	0.039	S*	24.4	-1
641	2015 XF	0.039	S*	24.4	-1
642	2017 MC1	0.039	S*	24.4	-1
643	2013 UE1	0.039	S*	24.4	-1
644	2008 HA2	0.039	S*	24.4	-1
645	2006 HW50	0.039	S*	24.4	-1
646	2014 SO142	0.039	S*	24.4	-1
647	2015 DP53	0.039	S*	24.4	-1
648	2014 TV	0.039	S*	24.4	-1
649	2004 XK3	0.039	S*	24.4	-1
650	2016 BB15	0.039	S*	24.4	-1
651	2018 EH	0.039	S*	24.4	-1
652	2006 KB1	0.039	S*	24.4	-1
653	2016 HB	0.039	S*	24.4	-1
654	2000 WL107	0.038	S*	24.44	-1
655	2020 YA5	0.038	S*	24.44	-1
656	2017 VG1	0.038	S*	24.47	-1
657	2015 SW6	0.038	S*	24.45	-1
658	2015 RQ36	0.037	S*	24.5	-1
659	2009 SH15	0.037	S*	24.5	-1
660	2015 LQ21	0.037	S*	24.5	-1
661	2010 JW39	0.037	S*	24.5	-1
662	2003 EM1	0.037	S*	24.5	-1
663	2000 DO8	0.037	S*	24.54	-1
664	2008 UT5	0.037	S*	24.5	-1
665	2016 YH3	0.037	S*	24.5	-1
666	2018 AJ	0.037	S*	24.5	-1
667	2013 SU24	0.037	S*	24.5	-1
668	2016 RF34	0.037	S*	24.5	-1
669	2016 CL29	0.036	S*	24.6	-1
670	2015 HB177	0.036	S*	24.6	-1
671	2014 KL22	0.036	S*	24.6	-1
672	2013 PJ10	0.036	S*	24.6	-1
673	2016 JD18	0.036	S*	24.6	-1
674	2016 FZ2	0.036	S*	24.6	-1
675	2010 CO44	0.036	S*	24.6	-1
676	2015 DZ198	0.036	S*	24.6	-1
677	2012 FP52	0.036	S*	24.6	-1
678	2020 OH3	0.035	S*	24.65	-1
679	2010 UC7	0.034	S*	24.7	-1
680	2015 HS1	0.034	S*	24.7	-1
681	2007 VV83	0.034	S*	24.7	-1
682	2015 KM120	0.034	S*	24.7	-1
683	2015 LJ	0.034	S*	24.7	-1
684	2019 NN3	0.034	S*	24.7	-1
685	2017 JA2	0.034	S*	24.7	-1
686	2009 UU1	0.034	S*	24.7	-1
687	2016 GW221	0.034	S*	24.7	-1
688	2006 HU50	0.034	S*	24.7	-1
689	2007 CX50	0.034	S*	24.7	-1
690	2014 YT34	0.034	S*	24.7	-1
691	2015 UC	0.034	S*	24.7	-1
692	2012 FT62	0.033	S*	24.8	-1
693	2014 WB366	0.033	S*	24.8	-1
694	2015 GC14	0.033	S*	24.8	-1
695	2015 BF511	0.033	S*	24.8	-1
696	2014 FA44	0.033	S*	24.8	-1
697	2012 DR32	0.033	S*	24.8	-1
698	2013 SY19	0.033	S*	24.8	-1
699	2014 WJ201	0.033	S*	24.8	-1
700	2016 RD20	0.033	S*	24.8	-1
701	2014 UY7	0.033	S*	24.8	-1
702	2020 KB3	0.033	S*	24.8	-1
703	2017 QX1	0.033	S*	24.8	-1
704	2020 SN	0.033	S*	24.8	-1
705	2016 DV1	0.033	S*	24.77	-1
706	2000 AG6	0.033	S*	24.8	-1
707	2017 AR4	0.033	S*	24.8	-1
708	2014 UN114	0.032	S*	24.82	-1
709	2015 BK4	0.031	S*	24.9	-1
710	2016 AV164	0.031	S*	24.9	-1
711	2015 DS	0.031	S*	24.9	-1
712	2009 FJ	0.031	S*	24.9	-1
713	2016 JV	0.031	S*	24.9	-1
714	2015 TL238	0.031	S*	24.9	-1
715	2018 RC	0.031	S*	24.9	-1
716	2016 GV221	0.031	S*	24.9	-1
717	2016 GF216	0.031	S*	24.9	-1
718	2014 TJ17	0.031	S*	24.9	-1
719	2018 LQ2	0.031	S*	24.9	-1
720	2008 TX3	0.031	S*	24.9	-1
721	2013 XX8	0.031	S*	24.88	-1
722	2009 SH2	0.031	S*	24.9	-1
723	2009 QH34	0.031	S*	24.9	-1
724	2016 CF29	0.031	S*	24.9	-1
725	2008 CC71	0.031	S*	24.9	-1
726	2014 QV295	0.031	S*	24.9	-1
727	2021 EX1	0.031	S*	24.88	-1
728	2001 AV43	0.031	S*	24.9	-1
729	2021 JR3	0.03	S*	24.95	-1
730	2016 CO29	0.03	S*	25.0	-1
731	2015 SU16	0.03	S*	25.0	-1
732	2021 DW1	0.03	S*	24.8	-1
733	2007 EV	0.03	S*	25.0	-1
734	2011 SG173	0.03	S*	25.0	-1
735	2012 JU11	0.03	S*	25.0	-1
736	2013 XY8	0.03	S*	25.0	-1
737	2007 GU1	0.03	S*	25.0	-1
738	2008 SA	0.03	S*	25.0	-1
739	2017 EE4	0.03	S*	25.0	-1
740	2020 VZ6	0.03	S*	25.0	-1
741	2008 TY9	0.03	S*	25.0	-1
742	2007 TU18	0.03	S*	25.0	-1
743	2016 BC15	0.03	S*	25.0	-1
744	2017 DA38	0.03	S*	25.0	-1
745	2014 TM34	0.03	S*	25.0	-1
746	2010 XM56	0.028	S*	25.1	-1
747	2014 SU1	0.028	S*	25.1	-1
748	2019 BE5	0.028	S*	25.1	-1
749	2017 DA36	0.028	S*	25.1	-1
750	2015 BM510	0.028	S*	25.1	-1
751	2016 NG38	0.028	S*	25.1	-1
752	2015 BG92	0.028	S*	25.1	-1
753	2017 EZ2	0.028	S*	25.1	-1
754	2016 QL44	0.028	S*	25.1	-1
755	2017 VZ14	0.028	S*	25.1	-1
756	2017 VA15	0.028	S*	25.1	-1
757	2021 RS	0.027	S*	25.18	-1
758	2014 TR57	0.027	S*	25.2	-1
759	2017 DV15	0.027	S*	25.2	-1
760	2011 WJ15	0.027	S*	25.2	-1
761	2015 AN44	0.027	S*	25.2	-1
762	2002 AA29	0.027	S*	25.2	-1
763	2015 FP	0.027	S*	25.2	-1
764	2008 YY32	0.027	S*	25.2	-1
765	2012 TV	0.027	S*	25.2	-1
766	2007 KE4	0.027	S*	25.2	-1
767	2017 BU	0.027	S*	25.2	-1
768	2015 XC	0.027	S*	25.2	-1
769	2016 EB1	0.026	S*	25.3	-1
770	2014 SZ144	0.026	S*	25.3	-1
771	2011 WF44	0.026	S*	25.3	-1
772	2009 SK15	0.026	S*	25.3	-1
773	2016 FA	0.026	S*	25.3	-1
774	2014 JJ55	0.026	S*	25.3	-1
775	2021 UH2	0.026	S*	25.31	-1
776	2019 WV	0.026	S*	25.27	-1
777	2016 LG	0.026	S*	25.3	-1
778	2015 SA	0.026	S*	25.3	-1
779	2017 QR35	0.026	S*	25.3	-1
780	2014 WR6	0.026	S*	25.3	-1
781	2017 YR3	0.026	S*	25.3	-1
782	2014 UY	0.026	S*	25.3	-1
783	2000 UK11	0.026	S*	25.3	-1
784	2020 DP4	0.026	S*	25.31	-1
785	2010 JH3	0.026	S*	25.3	-1
786	2016 ND1	0.026	S*	25.3	-1
787	2021 CO	0.026	S*	25.28	-1
788	2015 XA379	0.026	S*	25.29	-1
789	2014 HF5	0.026	S*	25.3	-1
790	2009 FX4	0.025	S*	25.4	-1
791	2016 YF	0.025	S*	25.4	-1
792	2014 EM	0.025	S*	25.4	-1
793	2012 XE54	0.025	S*	25.4	-1
794	2016 XR23	0.025	S*	25.4	-1
795	2017 KJ27	0.025	S*	25.4	-1
796	2016 NC1	0.025	S*	25.4	-1
797	2015 SU	0.025	S*	25.4	-1
798	2007 BD	0.025	S*	25.4	-1
799	2015 MY53	0.025	S*	25.4	-1
800	2015 SZ2	0.025	S*	25.4	-1
801	2013 YG	0.025	S*	25.4	-1
802	2016 AF166	0.025	S*	25.4	-1
803	2010 UJ7	0.025	S*	25.4	-1
804	2016 NS	0.025	S*	25.4	-1
805	2016 BF1	0.025	S*	25.4	-1
806	2016 LO48	0.025	S*	25.4	-1
807	2015 CZ12	0.025	S*	25.4	-1
808	2005 GB34	0.025	S*	25.4	-1
809	2016 AU9	0.025	S*	25.4	-1
810	2010 XR69	0.025	S*	25.4	-1
811	2015 HO116	0.024	S*	25.5	-1
812	2015 JD	0.024	S*	25.5	-1
813	1998 KY26	0.024	S*	25.5	-1
814	2003 SR84	0.024	S*	25.44	-1
815	2007 XN16	0.024	S*	25.5	-1
816	2016 CS247	0.024	S*	25.5	-1
817	2015 CB1	0.024	S*	25.5	-1
818	2014 FB44	0.024	S*	25.5	-1
819	2014 KA91	0.024	S*	25.5	-1
820	2016 WQ	0.024	S*	25.5	-1
821	2016 UE	0.024	S*	25.48	-1
822	2018 BG1	0.024	S*	25.5	-1
823	2012 UX136	0.023	S*	25.6	-1
824	2010 VZ11	0.023	S*	25.6	-1
825	2017 RB16	0.023	S*	25.6	-1
826	2017 RU2	0.023	S*	25.6	-1
827	2013 XY20	0.023	S*	25.6	-1
828	2015 DK200	0.023	S*	25.6	-1
829	2008 WY94	0.023	S*	25.6	-1
830	2015 EG	0.023	S*	25.6	-1
831	2014 WF201	0.023	S*	25.6	-1
832	2010 WA9	0.023	S*	25.6	-1
833	2015 CG	0.023	S*	25.6	-1
834	2014 UX7	0.023	S*	25.6	-1
835	2014 YN	0.022	S*	25.7	-1
836	2010 FT	0.022	S*	25.7	-1
837	2004 FH	0.022	S*	25.7	-1
838	2016 HO	0.022	S*	25.7	-1
839	2010 KK37	0.022	S*	25.7	-1
840	2015 FX33	0.022	S*	25.7	-1
841	2015 CQ13	0.022	S*	25.7	-1
842	2014 GG49	0.022	S*	25.7	-1
843	2018 DY3	0.022	S*	25.7	-1
844	2014 HO132	0.022	S*	25.7	-1
845	2014 DX110	0.022	S*	25.7	-1
846	2014 DF80	0.022	S*	25.7	-1
847	2014 UD57	0.021	S*	25.8	-1
848	2009 DD45	0.021	S*	25.8	-1
849	2019 EA2	0.021	S*	25.8	-1
850	2014 HE177	0.021	S*	25.8	-1
851	2014 DH10	0.021	S*	25.8	-1
852	2000 WM10	0.021	S*	25.8	-1
853	2013 NH4	0.021	S*	25.8	-1
854	2016 CK29	0.021	S*	25.8	-1
855	2020 YE5	0.021	S*	25.75	-1
856	2008 HJ	0.021	S*	25.8	-1
857	2015 FW33	0.021	S*	25.8	-1
858	2016 BW14	0.021	S*	25.8	-1
859	2018 KF1	0.021	S*	25.8	-1
860	2009 BK58	0.021	S*	25.8	-1
861	2015 JW	0.021	S*	25.8	-1
862	2010 TS19	0.021	S*	25.8	-1
863	2004 BV18	0.02	S*	25.9	-1
864	2007 DD	0.02	S*	25.9	-1
865	2011 UG169	0.02	S*	25.85	-1
866	2017 DL34	0.02	S*	25.9	-1
867	2018 CB	0.02	S*	25.9	-1
868	2013 BS45	0.02	S*	25.9	-1
869	2016 WB8	0.02	S*	25.9	-1
870	2021 EL4	0.02	S*	25.88	-1
871	2010 GF7	0.02	S*	25.9	-1
872	2016 QS11	0.02	S*	25.91	-1
873	2002 TZ66	0.02	S*	25.9	-1
874	2009 BF2	0.02	S*	25.9	-1
875	2015 AF44	0.019	S*	25.98	-1
876	2010 KV7	0.019	S*	26.0	-1
877	2015 YS9	0.019	S*	26.0	-1
878	2015 EP	0.019	S*	26.0	-1
879	2011 UT	0.019	S*	26.0	-1
880	2017 EE3	0.019	S*	26.0	-1
881	2020 RA6	0.019	S*	26.0	-1
882	2017 MO8	0.019	S*	26.0	-1
883	2019 MB4	0.019	S*	26.0	-1
884	2015 KW120	0.019	S*	26.0	-1
885	2020 GF2	0.019	S*	26.0	-1
886	2011 OJ45	0.019	S*	26.0	-1
887	2016 WG7	0.019	S*	26.0	-1
888	2014 TT35	0.019	S*	26.0	-1
889	2014 HS4	0.018	S*	26.1	-1
890	2015 XO	0.018	S*	26.1	-1
891	2006 DR14	0.018	S*	26.1	-1
892	2015 CM	0.018	S*	26.1	-1
893	2015 KT56	0.018	S*	26.1	-1
894	2009 TO8	0.018	S*	26.1	-1
895	2010 FR9	0.018	S*	26.1	-1
896	2004 KF17	0.018	S*	26.1	-1
897	2015 WA13	0.018	S*	26.1	-1
898	2015 EQ	0.018	S*	26.1	-1
899	2017 QU17	0.018	S*	26.1	-1
900	2015 DC54	0.018	S*	26.1	-1
901	2015 KE	0.017	S*	26.2	-1
902	2017 QW1	0.017	S*	26.2	-1
903	2017 RV2	0.017	S*	26.23	-1
904	2016 RM20	0.017	S*	26.2	-1
905	1991 VA	0.017	S*	26.21	-1
906	2015 KA	0.017	S*	26.2	-1
907	2020 KK7	0.017	S*	26.2	-1
908	2015 AP44	0.017	S*	26.2	-1
909	2014 KH39	0.017	S*	26.2	-1
910	2006 HX30	0.017	S*	26.2	-1
911	2014 TP57	0.017	S*	26.2	-1
912	2014 WC201	0.017	S*	26.2	-1
913	2010 HF	0.017	S*	26.2	-1
914	2005 UE1	0.017	S*	26.2	-1
915	2015 CO	0.017	S*	26.2	-1
916	2010 RQ64	0.017	S*	26.2	-1
917	2015 JF	0.016	S*	26.3	-1
918	2015 TZ143	0.016	S*	26.3	-1
919	2017 LE	0.016	S*	26.4	-1
920	2015 EK	0.016	S*	26.3	-1
921	2009 EW	0.016	S*	26.4	-1
922	2016 FL12	0.016	S*	26.3	-1
923	2014 WX4	0.016	S*	26.4	-1
924	2017 RS2	0.016	S*	26.4	-1
925	2015 JR	0.016	S*	26.3	-1
926	2014 JD	0.016	S*	26.3	-1
927	2015 AK45	0.016	S*	26.4	-1
928	2017 VY13	0.016	S*	26.4	-1
929	2014 SB145	0.016	S*	26.3	-1
930	2015 DU	0.016	S*	26.37	-1
931	2016 SZ1	0.016	S*	26.3	-1
932	2014 WY119	0.016	S*	26.3	-1
933	2016 JE18	0.016	S*	26.3	-1
934	2016 EQ1	0.016	S*	26.3	-1
935	2014 DJ80	0.016	S*	26.3	-1
936	2017 EK3	0.016	S*	26.3	-1
937	2015 CS	0.016	S*	26.4	-1
938	2009 HK73	0.016	S*	26.3	-1
939	2017 YW3	0.015	S*	26.5	-1
940	2006 DD1	0.015	S*	26.5	-1
941	2017 HU49	0.015	S*	26.5	-1
942	2020 RZ6	0.015	S*	26.54	-1
943	2017 CF32	0.015	S*	26.47	-1
944	2021 DP	0.014	S*	26.56	-1
945	2020 TP1	0.014	S*	26.71	-1
946	2016 NN15	0.014	S*	26.7	-1
947	2013 TG6	0.014	S*	26.6	-1
948	2011 BG24	0.014	S*	26.6	-1
949	2016 FC	0.014	S*	26.6	-1
950	2012 TC4	0.014	S*	26.7	-1
951	2012 KP24	0.014	S*	26.61	-1
952	2014 FA7	0.014	S*	26.7	-1
953	2014 KQ84	0.014	S*	26.7	-1
954	2010 FW9	0.014	S*	26.7	-1
955	2017 AT4	0.014	S*	26.6	-1
956	2003 XV	0.014	S*	26.7	-1
957	2014 UA176	0.014	S*	26.7	-1
958	2014 UR	0.014	S*	26.6	-1
959	2017 BJ30	0.014	S*	26.7	-1
960	2015 ET	0.014	S*	26.7	-1
961	2016 GE1	0.014	S*	26.7	-1
962	2014 HT46	0.014	S*	26.6	-1
963	2010 YD	0.014	S*	26.6	-1
964	2009 KW2	0.014	S*	26.6	-1
965	2015 FC	0.014	S*	26.6	-1
966	2015 KQ120	0.014	S*	26.7	-1
967	2009 FH	0.014	S*	26.6	-1
968	2017 QT1	0.014	S*	26.7	-1
969	2016 CU29	0.014	S*	26.7	-1
970	2021 GQ10	0.014	S*	26.65	-1
971	2015 DO215	0.014	S*	26.6	-1
972	2006 MV1	0.013	S*	26.8	-1
973	2010 FD6	0.013	S*	26.8	-1
974	2015 EO	0.013	S*	26.8	-1
975	2021 FH	0.013	S*	26.73	-1
976	2016 YM3	0.013	S*	26.8	-1
977	2016 GB222	0.013	S*	26.8	-1
978	2009 BO5	0.013	S*	26.8	-1
979	2017 AS4	0.013	S*	26.8	-1
980	2010 JL88	0.013	S*	26.8	-1
981	2015 EF	0.013	S*	26.8	-1
982	2014 RC	0.013	S*	26.8	-1
983	2014 UV210	0.012	S*	26.9	-1
984	2012 HG2	0.012	S*	27.0	-1
985	2017 QG18	0.012	S*	27.0	-1
986	2016 PX8	0.012	S*	27.0	-1
987	2015 KO122	0.012	S*	27.04	-1
988	2013 SB21	0.012	S*	27.0	-1
989	2008 UR2	0.012	S*	27.0	-1
990	2020 TD8	0.012	S*	26.9	-1
991	2010 DL	0.012	S*	27.0	-1
992	2014 WA366	0.012	S*	26.9	-1
993	2016 DN2	0.012	S*	26.9	-1
994	2008 UR	0.012	S*	26.9	-1
995	2021 HN	0.012	S*	26.9	-1
996	2010 KO10	0.011	S*	27.1	-1
997	2014 GQ17	0.011	S*	27.1	-1
998	2009 WV51	0.011	S*	27.1	-1
999	2015 LH	0.011	S*	27.2	-1
1000	2009 UD	0.011	S*	27.2	-1
1001	2018 DT	0.011	S*	27.1	-1
1002	2016 EL157	0.011	S*	27.1	-1
1003	2010 AL30	0.011	S*	27.2	-1
1004	2015 HS11	0.011	S*	27.1	-1
1005	2017 BS32	0.011	S*	27.2	-1
1006	2017 FK	0.01	S*	27.4	-1
1007	2014 SF304	0.01	S*	27.3	-1
1008	2001 WJ4	0.01	S*	27.4	-1
1009	2008 UT95	0.01	S*	27.4	-1
1010	2014 WS7	0.01	S*	27.3	-1
1011	2010 GH7	0.01	S*	27.3	-1
1012	2010 SK13	0.01	S*	27.4	-1
1013	2015 VN105	0.009	S*	27.6	-1
1014	2016 RD34	0.009	S*	27.7	-1
1015	2009 SN103	0.009	S*	27.6	-1
1016	2012 BX34	0.009	S*	27.6	-1
1017	2016 NM15	0.009	S*	27.5	-1
1018	2016 VA	0.009	S*	27.6	-1
1019	2015 SV6	0.009	S*	27.7	-1
1020	2009 FP32	0.009	S*	27.7	-1
1021	2017 LD	0.009	S*	27.5	-1
1022	2005 UW5	0.009	S*	27.5	-1
1023	2010 TN4	0.009	S*	27.5	-1
1024	2016 MA	0.009	S*	27.5	-1
1025	2016 CM194	0.009	S*	27.7	-1
1026	2016 EN156	0.008	S*	27.8	-1
1027	2015 OQ21	0.008	S*	27.9	-1
1028	2017 FJ	0.007	S*	28.2	-1
1029	2011 MD	0.007	S*	28.0	-1
1030	2014 HB177	0.007	S*	28.1	-1
1031	2010 TE55	0.007	S*	28.0	-1
1032	2017 VC14	0.007	S*	28.2	-1
1033	2009 FK	0.007	S*	28.3	-1
1034	2017 VV12	0.007	S*	28.0	-1
1035	2009 BD	0.007	S*	28.1	-1
1036	2017 UK8	0.007	S*	28.2	-1
1037	2017 RB	0.007	S*	28.1	-1
1038	2015 CD1	0.007	S*	28.2	-1
1039	2016 SA2	0.007	S*	28.2	-1
1040	2003 WT153	0.007	S*	28.0	-1
1041	2016 RB1	0.007	S*	28.3	-1
1042	2021 KN2	0.006	S*	28.63	-1
1043	2014 HW	0.006	S*	28.4	-1
1044	2016 CG18	0.006	S*	28.5	-1
1045	2020 UA	0.006	S*	28.44	-1
1046	2020 XX3	0.006	S*	28.48	-1
1047	2016 SW1	0.006	S*	28.5	-1
1048	2016 WZ8	0.006	S*	28.4	-1
1049	2009 TM8	0.006	S*	28.4	-1
1050	2021 JB6	0.005	S*	28.78	-1
1051	2020 SW	0.005	S*	29.06	-1
1052	2010 TD54	0.005	S*	28.9	-1
1053	2015 VY105	0.005	S*	29.0	-1
1054	2015 VO142	0.005	S*	28.9	-1
1055	2012 KT42	0.005	S*	28.79	-1
1056	2010 VO21	0.005	S*	28.7	-1
1057	2016 FW13	0.004	S*	29.5	-1
1058	2015 TC25	0.004	S*	29.34	-1
1059	2017 QB35	0.004	S*	29.3	-1
1060	2014 WX202	0.004	S*	29.6	-1
1061	2008 JL24	0.004	S*	29.6	-1
1062	2014 WU200	0.004	S*	29.1	-1
1063	2010 WA	0.003	S*	30.0	-1
1064	2006 RH120	0.003	S*	29.9	-1
1065	2008 TC3	0.002	S*	30.9	-1
1066	93P/Lovas				0
1067	1I/'Oumuamua			22.08	0
1068	94P/Russell 4				0
1069	C/2017 T2  (PanSTARRS)				0
1070	49P/Arend-Rigaux		C		0
1071	P/2006 HR30		C		0
1072	P/2016 BA14				0
1073	P002RZ				0
1074	P002I6				0
1075	P001GV				0
1076	P0012V				0
1077	P000ZE				0
1078	P002I1				0
1079	47P/Ashbrook-Jackson				0
1080	P000TQ				0
1081	P000K7				0
1082	P000DV				0
1083	333P/LINEAR		C		0
