,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,1.271570,89.269955,1.0177674000e+02,2.1191247000e+01,101.7771188,21.1912515,06h47m06.51s,21d11m28.51s,1.0560,1.2288,0.0343,17.014,null,null,9.111e-01,15.274,null,0.8,5.779e-01,9.976,0.158,6.9,9.757e-01,7.219,null,1.3,5.989e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55282.188656,null,null,null,null,null,null,null
1,6,0.518645,26.079288,1.0135135700e+02,2.1130615000e+01,101.3514249,21.1307444,06h45m24.34s,21d07m50.68s,2.5104,2.6665,0.9311,16.900,null,null,9.323e-01,15.235,null,null,7.745e-01,10.709,0.346,3.1,9.403e-01,7.158,null,1.4,8.454e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55282.651784,null,null,null,null,null,null,null
2,7,2.449051,-79.925581,1.0122739700e+02,2.1112725000e+01,101.2266790,21.1128440,06h44m54.40s,21d06m46.24s,1.7173,1.9288,-0.2904,16.960,null,null,1.262e+00,15.462,null,null,9.252e-01,10.613,0.276,3.9,1.225e+00,6.939,null,1.9,9.545e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55282.784088,null,null,null,null,null,null,null
