,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,6,0.880201,146.933217,6.6192183000e+01,2.7575765000e+01,66.1923335,27.5755601,04h24m46.16s,27d34m32.02s,0.7753,0.7709,-0.2055,14.986,0.137,8.0,7.317e-01,13.622,0.211,5.1,9.558e-01,10.070,null,null,2.058e-01,7.063,null,0.5,4.787e-01,2,0,0.000,0.000,0.000,0.000,0000,BBUU,0,55248.579488,138293083,15.977,0.070,15.820,0.135,15.200,0.127
1,18,3.535094,111.036843,6.6886100000e+01,2.7524802000e+01,66.8871335,27.5244495,04h27m32.91s,27d31m28.02s,2.2723,3.3532,-0.8713,14.852,null,1.3,4.249e-01,14.479,null,1.7,1.016e+00,10.848,null,1.0,2.213e+00,7.326,null,1.2,1.007e+00,1,0,0.000,0.000,0.000,0.000,0000,UUUU,0,55251.358383,null,null,null,null,null,null,null
2,26,3.151886,-174.436821,6.7038808000e+01,2.7514834000e+01,67.0387123,27.5139626,04h28m09.29s,27d30m50.27s,1.1739,1.1872,-0.3263,15.693,0.205,5.3,1.011e+00,15.065,0.513,2.1,1.499e+00,10.857,null,0.9,1.254e+00,7.071,null,1.6,1.417e+00,1,0,0.000,0.000,0.000,0.000,0000,BCUU,0,55251.953815,null,null,null,null,null,null,null
