,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,7,4.583718,-58.820312,2.3659888200e+02,-2.8573577000e+01,236.5976416,-28.5729178,15h46m23.43s,-28d34m22.50s,0.8355,0.9029,-0.1555,15.423,0.150,7.2,6.444e-01,15.160,0.378,2.9,1.111e+00,11.327,null,null,7.882e-01,7.784,null,null,6.633e-01,1,0,0.000,0.000,0.000,0.000,0000,BCUU,0,55246.826553,408657266,16.053,0.081,15.525,0.104,15.035,0.123
1,14,4.848459,-57.587636,2.3665023100e+02,-2.8609544000e+01,236.6489359,-28.6088221,15h46m35.74s,-28d36m31.76s,0.8421,0.7711,0.5109,14.482,0.127,8.5,4.006e+02,11.132,0.314,3.5,5.526e+00,10.330,0.403,2.7,1.602e+00,7.760,null,0.1,4.182e-01,1,0,0.000,0.000,0.000,0.000,0000,BBCU,0,55247.422113,null,null,null,null,null,null,null
2,19,3.049619,-123.828874,2.1832784000e+02,-2.3679494000e+01,218.3270716,-23.6799656,14h33m18.50s,-23d40m47.88s,0.7284,0.7649,0.1556,17.072,null,null,1.735e+00,15.609,null,null,9.506e-01,11.369,null,null,6.671e-01,5.872,0.119,9.1,7.526e+00,1,0,0.000,0.000,0.000,0.000,0H00,UUUB,0,55408.933533,null,null,null,null,null,null,null
