,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,4.835338,31.173809,3.0051277600e+02,-1.4988810000e+00,300.5134715,-1.4977318,20h02m03.23s,-01d29m51.83s,1.0557,1.0551,-0.4086,15.607,0.175,6.2,6.512e-01,14.910,null,1.4,7.297e-01,11.392,null,null,1.687e+00,7.888,null,null,1.019e+00,1,0,0.000,0.000,0.000,0.000,0000,BUUU,0,55308.218704,null,null,null,null,null,null,null
1,6,4.069429,60.175354,3.0054078300e+02,-1.4691930000e+00,300.5417640,-1.4686308,20h02m10.02s,-01d28m07.07s,0.6723,0.7193,-0.2173,15.247,0.126,8.6,1.065e+00,14.528,0.215,5.1,1.049e+00,10.809,null,1.4,2.323e+00,7.927,null,null,1.337e+00,1,0,0.000,0.000,0.000,0.000,0000,BBUU,0,55308.615621,100097914,16.477,0.125,15.501,0.141,15.440,0.216
