,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,10,1.213569,120.619962,3.5315552400e+02,-1.6590387000e+01,353.1558267,-16.5905587,23h32m37.40s,-16d35m26.01s,0.2318,0.2350,-0.0440,13.765,0.047,23.1,1.778e+00,13.647,0.109,10.0,5.507e-01,9.355,0.089,12.2,1.101e+00,7.195,0.306,3.5,1.520e+00,1,0,0.000,0.000,0.000,0.000,0000,AAAB,0,55355.589269,1278675021,15.832,0.094,15.230,0.101,14.501,0.116
1,17,1.746235,95.845322,3.5342288900e+02,-1.6550696000e+01,353.4233924,-16.5507454,23h33m41.61s,-16d33m02.68s,1.3552,1.6014,-0.4282,16.327,0.287,3.8,7.500e-01,15.266,0.393,2.8,1.438e+00,11.247,null,0.1,1.236e+00,7.306,null,1.1,1.382e+00,1,0,0.000,0.000,0.000,0.000,0000,BCUU,0,55356.118357,null,null,null,null,null,null,null
2,23,3.289161,-38.088682,3.5359021700e+02,-1.6525989000e+01,353.5896291,-16.5252699,23h34m21.51s,-16d31m30.97s,1.1677,1.1279,0.3005,16.160,0.267,4.1,1.448e+00,15.496,null,null,7.632e-01,10.029,0.204,5.3,3.106e+00,7.801,null,null,1.035e+00,1,0,0.000,0.000,0.000,0.000,0000,BUBU,0,55356.449180,null,null,null,null,null,null,null
3,24,2.789375,-98.064713,3.5362365700e+02,-1.6521078000e+01,353.6228568,-16.5211867,23h34m29.49s,-16d31m16.27s,1.4082,1.4994,-0.4421,16.509,0.344,3.2,9.017e-01,15.264,0.382,2.8,6.826e-01,10.838,0.355,3.1,8.526e-01,7.302,null,1.1,1.055e+00,2,0,0.000,0.000,0.000,0.000,0000,BCBU,0,55356.515268,null,null,null,null,null,null,null
4,31,3.316720,-178.288214,3.5392515600e+02,-1.6476917000e+01,353.9251273,-16.4778379,23h35m42.03s,-16d28m40.22s,0.5568,0.5955,-0.1845,15.004,0.099,10.9,6.847e-01,14.630,0.255,4.3,2.563e+00,10.647,null,1.8,1.192e+00,7.823,null,null,1.979e+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55357.110699,null,null,null,null,null,null,null
5,32,4.641424,-176.588635,3.5399220100e+02,-1.6467154000e+01,353.9921210,-16.4684410,23h35m58.11s,-16d28m06.39s,0.5388,0.5623,-0.1975,15.010,0.106,10.2,1.352e+00,14.183,0.153,7.1,4.431e-01,11.171,null,0.3,5.658e-01,7.546,null,0.6,2.344e+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55357.243003,1171481002,16.728,0.155,16.094,0.197,14.980,0.141
