,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,0.352069,-10.037620,2.5212512700e+02,1.1585437000e+01,252.1251096,11.5855333,16h48m30.03s,11d35m07.92s,0.3553,0.4248,0.0735,16.463,null,1.4,8.611e-01,14.365,0.181,6.0,5.045e-01,8.700,0.052,20.9,1.508e+00,6.621,0.185,5.9,1.024e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55254.097037,null,null,null,null,null,null,null
1,2,0.321838,30.410449,2.5184686700e+02,1.1619457000e+01,251.8469132,11.6195341,16h47m23.26s,11d37m10.32s,0.3527,0.4011,0.1216,16.566,0.341,3.2,1.153e+00,14.107,0.139,7.8,1.111e+00,8.708,0.053,20.6,1.768e+00,6.765,0.224,4.9,1.134e+00,1,0,0.000,0.000,0.000,0.000,0000,BBAB,0,55254.163125,null,null,null,null,null,null,null
2,9,0.714003,-23.343224,1.7742360600e+02,-1.0195520000e+00,177.4235274,-1.0193699,11h49m41.65s,-01d01m09.73s,0.9680,1.0577,0.2858,15.670,0.176,6.2,1.157e+00,15.305,0.388,2.8,1.174e+00,11.255,null,null,6.171e-01,7.582,null,null,6.203e-01,1,0,0.000,0.000,0.000,0.000,0000,BCUU,1,55360.514690,null,null,null,null,null,null,null
