,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,7,1.405014,98.175467,1.9324917600e+02,-3.1499100000e+00,193.2495629,-3.1499655,12h52m59.90s,-03d08m59.88s,1.3852,1.5110,0.5400,16.971,null,null,1.050e+00,15.366,null,null,9.376e-01,9.991,0.171,6.4,8.173e-01,7.588,null,0.3,8.239e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55204.410934,null,null,null,null,null,null,null
1,9,0.849603,86.988173,1.9318960900e+02,-3.4394180000e+00,193.1898451,-3.4394056,12h52m45.56s,-03d26m21.86s,1.9849,2.1722,0.5780,16.748,0.440,2.5,1.160e+00,15.207,null,0.6,1.382e+00,10.925,0.427,2.5,7.258e-01,7.707,null,null,1.168e+00,1,0,0.000,0.000,0.000,0.000,0000,CUCU,0,55204.675671,null,null,null,null,null,null,null
2,14,3.266688,140.472091,1.6859728000e+02,-2.3170094000e+01,168.5979082,-23.1707939,11h14m23.50s,-23d10m14.86s,1.1553,1.3387,0.3783,15.987,0.222,4.9,1.035e+00,15.025,null,1.8,1.050e+00,11.400,0.532,2.0,1.728e+00,7.593,null,0.7,8.408e-01,1,0,0.000,0.000,0.000,0.000,0000,BUCU,0,55361.568664,null,null,null,null,null,null,null
