,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,4,4.744141,69.829823,2.5380852200e+02,-1.6704946000e+01,253.8098135,-16.7044916,16h55m14.36s,-16d42m16.17s,0.6064,0.6377,-0.1601,14.940,0.106,10.2,1.378e+00,14.813,null,1.6,1.174e+00,11.295,null,null,1.079e+00,7.836,null,null,1.505e+00,1,0,0.000,0.000,0.000,0.000,0000,AUUU,0,55258.998272,1257817625,16.653,0.140,16.098,0.201,15.578,0.217
1,7,1.562246,171.598236,2.5390744500e+02,-1.6702078000e+01,253.9075112,-16.7025073,16h55m37.80s,-16d42m09.03s,0.1594,0.1460,0.0090,16.931,null,null,8.492e-01,11.220,0.029,37.3,2.979e+01,11.333,null,null,1.421e+00,7.689,null,null,7.793e-01,1,0,0.000,0.000,0.000,0.000,0000,UAUU,0,55259.329096,null,null,null,null,null,null,null
2,14,4.768080,123.998472,2.5402589300e+02,-1.6698428000e+01,254.0270394,-16.6991686,16h56m06.49s,-16d41m57.01s,1.0264,1.1408,0.1202,15.670,0.179,6.1,1.212e+00,14.952,null,0.3,7.656e-01,11.036,null,null,7.054e-01,7.334,null,1.1,1.344e+00,1,0,0.000,0.000,0.000,0.000,0000,BUUU,0,55259.726002,1280448138,16.280,0.092,15.756,0.126,15.379,null
3,21,0.482696,71.114213,2.0279687100e+02,3.8719084000e+01,202.7970336,38.7191274,13h31m11.29s,38d43m08.86s,0.5738,0.6094,0.1962,17.273,null,null,1.441e+00,15.292,0.382,2.8,7.295e-01,9.510,0.084,12.9,1.590e+00,6.959,0.236,4.6,7.287e-01,1,0,0.000,0.000,0.000,0.000,0000,UCAB,0,55363.962739,null,null,null,null,null,null,null
4,22,0.565874,86.644557,2.0216976900e+02,3.8924390000e+01,202.1699707,38.9243992,13h28m40.79s,38d55m27.84s,0.5000,0.5138,0.2068,16.940,null,0.4,8.435e-01,15.264,0.355,3.1,1.011e+00,9.146,0.069,15.8,8.336e-01,6.873,0.195,5.6,5.410e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55364.028828,null,null,null,null,null,null,null
5,23,0.199264,39.026164,2.0216844700e+02,3.8924490000e+01,202.1684918,38.9245330,13h28m40.44s,38d55m28.32s,0.5073,0.5544,0.1021,17.104,null,null,1.015e+00,15.645,null,0.2,1.749e+00,9.130,0.069,15.7,9.043e-01,6.969,0.231,4.7,9.268e-01,1,0,0.000,0.000,0.000,0.000,0000,UUAB,0,55364.028955,null,null,null,null,null,null,null
