Name	Diam	type	PHA	search?
2007 VH184	0.124	Amor	Near	True
2007 VV83	0.034	Aten	Near	True
2007 WU3	0.052	Apollo	Near	True
2007 XN16	0.024	Apollo	Near	True
2007 XO3	0.078	Amor	Near	True
2008 CC71	0.031	Apollo	Near	True
2008 CP	0.045	Amor	Near	True
2008 CP116	0.078	Amor	Near	True
2008 DG4	0.052	Apollo	Near	True
2008 GU20	0.078	Amor	Near	True
2008 HA2	0.039	Amor	Near	True
2008 HJ	0.021	Apollo	Near	True
2008 JL24	0.004	Apollo	Near	True
2008 MP1	0.124	Apollo	Potentially	True
2008 NP3	0.081	Apollo	Near	True
2008 PR9	0.096	Aten	Near	True
2008 SA	0.03	Apollo	Near	True
2008 TC3	0.002	Apollo	Near	True
2008 TT26	0.057	Apollo	Near	True
2008 TX3	0.031	Apollo	Near	True
2008 TY9	0.03	Amor	Near	True
2008 UP100	0.049	Apollo	Near	True
2008 UR	0.012	Apollo	Near	True
2008 UR2	0.012	Apollo	Near	True
2008 UT1	0.103	Apollo	Near	True
2008 UT5	0.037	Amor	Near	True
2008 UT95	0.01	Apollo	Near	True
2008 VH14	0.057	Amor	Near	True
2008 VU3	0.062	Apollo	Near	True
2008 WA14	0.075	Apollo	Near	True
2008 WD14	0.069	Apollo	Near	True
2008 WL	0.136	Apollo	Near	True
2008 WY94	0.023	Apollo	Near	True
2008 XC1	0.054	Apollo	Near	True
2008 YY32	0.027	Apollo	Near	True
2009 BD	0.007	Amor	Near	True
2009 BF2	0.02	Apollo	Near	True
2009 BK58	0.021	Apollo	Near	True
2009 BO5	0.013	Apollo	Near	True
2009 CV	0.041	Apollo	Near	True
2009 DD45	0.021	Apollo	Near	True
2009 DL46	0.118	Amor	Potentially	True
2009 DO111	0.082	Apollo	Near	True
2009 EM1	0.078	Amor	Near	True
2009 EP2	0.142	Aten	Potentially	True
2009 EW	0.016	Apollo	Near	True
2009 FH	0.014	Apollo	Near	True
2009 FJ	0.031	Apollo	Near	True
2009 FK	0.007	Apollo	Near	True
2009 FP32	0.009	Apollo	Near	True
2009 FX4	0.025	Apollo	Near	True
2009 HG60	0.086	Apollo	Near	True
2009 HK73	0.016	Apollo	Near	True
2009 HM82	0.086	Apollo	Near	True
2009 KL8	0.041	Apollo	Near	True
2009 KW2	0.014	Amor	Near	True
2009 QH34	0.031	Amor	Near	True
2009 SH15	0.037	Amor	Near	True
2009 SH2	0.031	Aten	Near	True
2009 SK15	0.026	Amor	Near	True
2009 SN103	0.009	Apollo	Near	True
2009 TM8	0.006	Apollo	Near	True
2009 TO8	0.018	Apollo	Near	True
2009 UD	0.011	Apollo	Near	True
2009 UG	0.065	Aten	Near	True
2009 UO3	0.075	Amor	Near	True
2009 UU1	0.034	Apollo	Near	True
2009 UY19	0.062	Apollo	Near	True
2009 WB	0.043	Amor	Near	True
2009 WV25	0.047	Apollo	Near	True
2009 WV51	0.011	Apollo	Near	True
2009 WW104	0.094	Apollo	Near	True
2009 WY7	0.045	Aten	Near	True
2009 XO2	0.059	Apollo	Near	True
2010 AE30	0.057	Apollo	Near	True
2010 AF30	0.136	Apollo	Potentially	True
2010 AG40	0.118	Apollo	Potentially	True
2010 AJ30	0.084	Aten	Near	True
2010 AL30	0.011	Apollo	Near	True
2010 AN2	0.108	Apollo	Near	True
2010 BC	0.108	Apollo	Near	True
2010 BH115	0.0	Main	-1	True
2010 BK2	0.118	Aten	Near	True
2010 BT3	0.156	Amor	Near	True
2010 CA55	0.108	Apollo	Near	True
2010 CB55	0.086	Apollo	Near	True
2010 CC19	0.103	Apollo	Near	True
2010 CC55	0.094	Apollo	Near	True
2010 CD55	0.065	Apollo	Near	True
2010 CE55	0.108	Amor	Near	True
2010 CF55	0.136	Apollo	Near	True
2010 CK1	0.047	Apollo	Near	True
2010 CN141	0.098	Apollo	Near	True
2010 CO44	0.036	Apollo	Near	True
2010 DG77	0.156	Apollo	Potentially	True
2010 DH77	0.156	Apollo	Near	True
2010 DL	0.012	Apollo	Near	True
2010 DO	0.136	Apollo	Potentially	True
2010 DX1	0.142	Apollo	Near	True
2010 EC43	0.075	Apollo	Near	True
2010 EG21	0.039	Aten	Near	True
2010 EK43	0.142	Apollo	Near	True
2010 EX11	0.045	Aten	Near	True
2010 FA81	0.098	Amor	Near	True
2010 FB81	0.156	Amor	Near	True
2010 FC	0.047	Amor	Near	True
2010 FC81	0.13	Amor	Potentially	True
2010 FD6	0.013	Apollo	Near	True
2010 FD7	0.113	Apollo	Near	True
2010 FE7	0.054	Apollo	Near	True
2010 FF10	0.132	Apollo	Potentially	True
2010 FG81	0.065	Amor	Near	True
2010 FK	0.052	Aten	Near	True
2010 FR9	0.018	Apollo	Near	True
2010 FS	0.043	Aten	Near	True
2010 FT	0.022	Apollo	Near	True
2010 FW9	0.014	Apollo	Near	True
2010 FX9	0.043	Apollo	Near	True
2010 GB6	0.113	Aten	Near	True
2010 GC6	0.156	Amor	Near	True
2010 GF7	0.02	Apollo	Near	True
2010 GH7	0.01	Apollo	Near	True
2010 GL23	0.082	Apollo	Near	True
2010 GP67	0.094	Apollo	Near	True
2010 GS7	0.149	Apollo	Potentially	True
2010 GT6	0.156	Apollo	Near	True
2010 GX23	0.075	Apollo	Near	True
2010 GZ5	0.082	Apollo	Near	True
2010 HA	0.049	Aten	Near	True
2010 HF	0.017	Amor	Near	True
2010 HV20	0.124	Apollo	Near	True
2010 HW81	0.156	Apollo	Near	True
2010 HX107	0.057	Aten	Near	True
2010 HZ104	0.094	Apollo	Near	True
2010 JE88	0.149	Apollo	Potentially	True
2010 JH3	0.026	Apollo	Near	True
2010 JJ3	0.054	Apollo	Near	True
2010 JL88	0.013	Apollo	Near	True
2010 JN71	0.156	Apollo	Potentially	True
2010 JO71	0.049	Apollo	Near	True
2010 JW39	0.037	Apollo	Near	True
2010 JX16	0.0	Main	-1	True
2010 KA8	0.156	Apollo	Near	True
2010 KK37	0.022	Apollo	Near	True
2010 KO10	0.011	Apollo	Near	True
2010 KP10	0.062	Apollo	Near	True
2010 KU7	0.108	Amor	Near	True
2010 KV7	0.019	Apollo	Near	True
2010 LB64	0.132	Amor	Near	True
2010 LH14	0.113	Apollo	Near	True
2010 LJ68	0.086	Apollo	Near	True
2010 LK34	0.124	Apollo	Potentially	True
2010 LK61	0.124	Apollo	Near	True
2010 LK68	0.094	Apollo	Near	True
2010 LL68	0.078	Apollo	Near	True
2010 LV108	0.09	Amor	Near	True
2010 MG1	0.065	Apollo	Near	True
2010 MP1	0.156	Aten	Near	True
2010 MY1	0.049	Apollo	Near	True
2010 NK1	0.098	Apollo	Near	True
2010 NR1	0.13	Amor	Near	True
2010 NS36	0.0	Main	-1	True
2010 OH126	0.156	Apollo	Near	True
2010 PK9	0.13	Aten	Potentially	True
2010 PP58	0.113	Apollo	Near	True
2010 PU66	0.103	Apollo	Near	True
2010 PW58	0.136	Aten	Potentially	True
2010 QA5	0.103	Amor	Near	True
2010 QG2	0.041	Apollo	Near	True
2010 RC130	0.108	Amor	Near	True
2010 RJ53	0.047	Apollo	Near	True
2010 RQ64	0.017	Amor	Near	True
2010 SK13	0.01	Apollo	Near	True
2010 TD54	0.005	Apollo	Near	True
2010 TE55	0.007	Aten	Near	True
2010 TG19	0.049	Apollo	Near	True
2010 TN4	0.009	Apollo	Near	True
2010 TS19	0.021	Apollo	Near	True
2010 UC7	0.034	Apollo	Near	True
2010 UJ7	0.025	Aten	Near	True
2010 UX6	0.071	Amor	Near	True
2010 VB1	0.068	Apollo	Near	True
2010 VD72	0.156	Aten	Potentially	True
2010 VK139	0.055	Atira	Near	True
2010 VO21	0.005	Apollo	Near	True
2010 VT11	0.149	Apollo	Potentially	True
2010 VW75	0.124	Amor	Near	True
2010 VZ11	0.023	Apollo	Near	True
2010 WA	0.003	Apollo	Near	True
2010 WA9	0.023	Apollo	Near	True
2010 WB	0.045	Apollo	Near	True
2010 WC9	0.059	Apollo	Near	True
2010 XE11	0.075	Amor	Near	True
2010 XM56	0.028	Apollo	Near	True
2010 XP69	0.156	Amor	Potentially	True
2010 XR69	0.025	Aten	Near	True
2010 YD	0.014	Apollo	Near	True
2011 AA37	0.07	Amor	Near	True
