,Name,Diam,Class,H,time,type,PHA
102,2016 XA18,0.071,S*,23.1,2016,Apollo,Near
103,2016 WN48,0.033,S*,24.8,2016,Apollo,Near
104,2002 AO11,0.086,S*,22.7,2016,Aten,Near
105,2016 VK6,0.098,S*,22.4,2016,Amor,Near
106,2010 FR,0.136,S*,21.7,2016,Apollo,Potentially
107,2016 UD41,0.082,S*,22.8,2016,Apollo,Near
108,2016 TZ19,0.07,S*,23.15,2016,Aten,Near
109,2016 TX17,0.059,S*,23.5,2016,Apollo,Near
110,2011 BT15,0.136,S*,21.7,2016,Apollo,Potentially
111,2016 UZ25,0.142,S*,21.6,2016,Apollo,Potentially
112,2016 TB11,0.027,S*,25.2,2016,Apollo,Near
113,2016 RW,0.068,S*,23.2,2016,Apollo,Near
114,2016 PG67,0.098,S*,22.4,2016,Amor,Near
115,2016 TB57,0.018,S*,26.1,2016,Apollo,Near
116,2016 RM40,0.034,S*,24.7,2016,Apollo,Near
117,2015 FN120,0.059,S*,23.5,2015,Apollo,Near
118,2015 XB130,0.13,S*,21.8,2015,Amor,Near
119,2015 TX24,0.144,S*,21.58,2015,Apollo,Potentially
120,2015 HU171,0.054,S*,23.7,2015,Apollo,Near
121,2015 PK57,0.039,S*,24.4,2015,Apollo,Near
122,2015 VB65,0.078,S*,22.9,2015,Apollo,Near
123,2015 VF1,0.052,S*,23.8,2015,Apollo,Near
124,2015 NA14,0.118,S*,22.0,2015,Aten,Near
125,2015 VU65,0.016,S*,26.4,2015,Apollo,Near
126,2015 VZ145,0.059,S*,23.5,2015,Apollo,Near
127,2015 HF1,0.086,S*,22.7,2015,Apollo,Near
128,2015 XE,0.034,S*,24.7,2015,Apollo,Near
129,2015 DX198,0.113,S*,22.1,2015,Amor,Near
130,2007 YJ,0.124,S*,21.9,2015,Apollo,Near
131,2015 GY,0.136,S*,21.7,2015,Apollo,Potentially
132,1998 FL3,0.118,S*,22.0,2015,Apollo,Potentially
133,2015 LM21,0.113,S*,22.1,2015,Apollo,Near
134,2015 LK24,0.142,S*,21.6,2015,Amor,Potentially
