cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
3,0.428965,155.122099,3.4666251500E+02,7.8347530000E+00,346.6625656,7.8346449,1.0230,1.1293,-0.2855,16.866,null,0.2,6.474E-01,14.848,null,1.8,1.143E+00,9.880,0.141,7.7,6.419E-01,7.683,0.452,2.4,9.126E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55359.288938,null,null,null,null,null,null,null
4,1.182880,-38.848128,3.4652747400E+02,7.9435870000E+00,346.5272659,7.9438429,1.2514,1.3860,-0.3797,17.103,null,null,7.477E-01,14.990,0.322,3.4,9.047E-01,10.390,0.224,4.8,7.278E-01,7.674,null,null,1.571E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55359.421242,null,null,null,null,null,null,null
5,0.339865,19.485200,3.4645995800E+02,7.9978490000E+00,346.4599898,7.9979380,1.0743,1.1823,-0.4296,16.773,null,0.4,9.030E-01,15.331,null,0.2,1.379E+00,10.024,0.156,7.0,9.555E-01,7.408,0.338,3.2,1.174E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55359.487330,null,null,null,null,null,null,null
6,0.412140,91.151156,3.4639228800E+02,8.0522860000E+00,346.3924036,8.0522837,1.0628,1.1165,-0.2963,16.895,null,0.2,7.539E-01,15.259,0.403,2.7,1.249E+00,9.956,0.148,7.3,1.429E+00,7.094,null,1.7,1.083E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55359.553545,null,null,null,null,null,null,null
7,1.205053,124.604493,3.4632469800E+02,8.1064850000E+00,346.3249763,8.1062949,1.2627,1.4312,-0.4848,17.087,null,null,9.266E-01,14.943,null,1.8,1.026E+00,10.072,0.168,6.5,1.177E+00,7.821,null,0.1,2.002E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55359.619634,null,null,null,null,null,null,null
8,0.239072,-26.367664,3.4618929200E+02,8.2149870000E+00,346.1892622,8.2150465,0.8370,0.9103,-0.1798,17.040,null,null,1.947E+00,14.866,0.276,3.9,8.951E-01,9.688,0.118,9.2,1.430E+00,7.410,null,1.1,8.038E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55359.751937,null,null,null,null,null,null,null
9,0.444079,-67.049782,3.4605385100E+02,8.3231500000E+00,346.0537362,8.3231981,1.5707,1.7413,-0.2840,16.724,null,0.6,6.993E-01,14.922,null,1.9,9.410E-01,10.410,0.223,4.9,1.964E+00,7.337,null,1.4,7.336E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55359.884115,null,null,null,null,null,null,null
10,0.272882,108.140175,3.4605373400E+02,8.3233560000E+00,346.0538068,8.3233324,1.1849,1.1134,-0.2538,16.632,null,0.8,1.134E+00,14.817,0.276,3.9,1.569E+00,10.132,0.169,6.4,1.234E+00,7.758,null,0.1,1.154E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55359.884242,null,null,null,null,null,null,null
