cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
18,0.491599,171.921178,4.9889349000E+01,2.2014013000E+01,49.8893697,22.0138778,0.6016,0.6228,-0.1983,16.548,null,1.0,5.853E-01,14.315,0.181,6.0,9.805E-01,9.138,0.083,13.0,1.747E+00,7.596,0.499,2.2,6.613E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55234.353299,null,null,null,null,null,null,null
19,0.982007,112.502605,4.9963657000E+01,2.2050868000E+01,49.9639289,22.0507636,0.5037,0.6086,-0.1127,16.714,null,0.7,1.186E+00,14.222,0.162,6.7,1.430E+00,9.190,0.076,14.2,1.243E+00,7.188,null,1.9,9.815E-01,1,0,0.000,0.000,0.000,0.000,00ll,UBAU,1,55234.485603,null,null,null,null,null,null,null
20,0.942807,121.157364,4.9963748000E+01,2.2050719000E+01,49.9639898,22.0505835,0.4347,0.4994,-0.1405,16.515,null,1.2,1.004E+00,14.255,0.162,6.7,9.741E-01,9.032,0.066,16.5,1.213E+00,6.945,0.234,4.6,1.319E+00,1,0,0.000,0.000,0.000,0.000,00ll,UBAB,1,55234.485731,null,null,null,null,null,null,null
21,0.998817,120.760071,5.0038612000E+01,2.2087757000E+01,50.0388693,22.0876151,0.4804,0.5546,-0.1356,16.373,null,0.5,7.925E-01,14.324,0.194,5.6,7.703E-01,9.059,0.071,15.2,8.566E-01,6.888,0.232,4.7,1.541E+00,2,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55234.618035,null,null,null,null,null,null,null
22,0.633560,45.887712,5.0114036000E+01,2.2124975000E+01,50.1141724,22.1250975,0.6044,0.6833,-0.1718,16.796,null,null,8.792E-01,14.375,0.200,5.4,7.618E-01,9.291,0.088,12.4,1.064E+00,7.219,null,1.4,1.682E+00,2,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55234.750339,null,null,null,null,null,null,null
23,1.192989,97.072093,5.0190025000E+01,2.2162375000E+01,50.1903801,22.1623342,0.5114,0.5808,-0.1537,16.108,0.246,4.4,1.584E+00,13.961,0.135,8.0,1.001E+00,9.240,0.085,12.8,1.397E+00,7.085,null,2.0,1.530E+00,1,0,0.000,0.000,0.000,0.000,0000,BBAU,1,55234.882643,null,null,null,null,null,null,null
25,0.578193,88.394426,5.0266672000E+01,2.2199812000E+01,50.2668454,22.1998165,0.3585,0.4281,-0.1181,16.787,null,null,8.212E-01,14.050,0.156,7.0,1.480E+00,8.836,0.058,18.7,1.138E+00,6.845,0.224,4.9,1.074E+00,1,0,0.000,0.000,0.000,0.000,000d,UBAB,1,55235.015075,null,null,null,null,null,null,null
26,1.038225,97.070683,5.0343800000E+01,2.2237585000E+01,50.3441092,22.2375495,0.4769,0.5451,-0.0998,16.901,null,0.1,1.335E+00,14.713,0.284,3.8,8.875E-01,9.031,0.069,15.8,8.448E-01,7.677,0.490,2.2,1.288E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55235.147379,null,null,null,null,null,null,null
29,0.769817,126.701598,6.5443081000E+01,2.8234355000E+01,65.4432756,28.2342272,0.3538,0.4051,-0.0805,16.259,null,1.4,1.451E+00,13.496,0.131,8.3,1.140E+00,8.458,0.052,20.8,8.856E-01,6.935,0.368,2.9,7.706E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,0,55250.895383,null,null,null,null,null,null,null
30,0.724396,110.327027,6.5642920000E+01,2.8297864000E+01,65.6431343,28.2977941,0.3293,0.3849,-0.1076,16.605,0.429,2.5,1.130E+00,14.984,null,null,2.755E+00,8.408,0.047,23.3,1.080E+00,7.288,0.387,2.8,8.415E-01,1,0,0.000,0.000,0.000,0.000,0000,CUAC,0,55251.027687,null,null,null,null,null,null,null
31,0.636184,150.693194,6.5844538000E+01,2.8361549000E+01,65.8446363,28.3613949,0.2720,0.3232,-0.1047,16.638,null,0.6,1.123E+00,13.552,0.125,8.7,4.995E-01,8.362,0.042,26.1,8.427E-01,6.353,0.142,7.6,1.235E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55251.159991,null,null,null,null,null,null,null
32,0.951923,145.684822,6.5844757000E+01,2.8361343000E+01,65.8449264,28.3611246,0.3161,0.3702,-0.0710,16.508,0.369,2.9,9.598E-01,14.231,0.230,4.7,1.562E+00,8.414,0.048,22.7,1.154E+00,6.483,0.205,5.3,5.496E-01,1,0,0.000,0.000,0.000,0.000,0000,CBAB,0,55251.160118,null,null,null,null,null,null,null
33,0.726188,111.979972,6.6048174000E+01,2.8425195000E+01,66.0483867,28.4251195,0.3376,0.3778,0.0273,16.200,0.287,3.8,2.944E+00,13.560,0.155,7.0,6.284E-01,8.432,0.052,20.8,5.261E-01,6.296,0.143,7.6,2.120E+00,1,0,0.000,0.000,0.000,0.000,0000,BBAB,0,55251.292422,null,null,null,null,null,null,null
34,0.698525,144.212780,6.6253406000E+01,2.8489214000E+01,66.2535351,28.4890566,0.2501,0.2848,-0.0583,16.386,null,1.2,2.044E+00,13.166,0.089,12.2,9.060E-01,8.265,0.039,27.9,9.787E-01,6.331,0.139,7.8,1.829E+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,0,55251.424726,null,null,null,null,null,null,null
35,0.614731,125.228416,6.6460474000E+01,2.8553403000E+01,66.4606328,28.5533045,0.2541,0.2983,-0.0666,16.261,0.295,3.7,7.346E-01,13.570,0.124,8.8,1.205E+00,8.252,0.039,27.7,1.031E+00,6.311,0.154,7.1,1.007E+00,1,0,0.000,0.000,0.000,0.000,0000,BBAB,0,55251.557030,null,null,null,null,null,null,null
36,0.581257,132.364892,6.6669397000E+01,2.8617749000E+01,66.6695329,28.6176402,0.2649,0.3301,-0.0577,16.741,0.433,2.5,1.418E+00,13.678,0.124,8.7,1.884E+00,8.328,0.042,25.6,9.212E-01,6.292,0.127,8.6,8.023E-01,1,0,0.000,0.000,0.000,0.000,0000,CBAB,0,55251.689334,null,null,null,null,null,null,null
37,0.802761,146.851883,6.6669624000E+01,2.8617538000E+01,66.6697629,28.6173513,0.2528,0.3072,-0.0782,16.797,null,0.1,1.016E+00,13.442,0.106,10.3,9.598E-01,8.322,0.039,27.7,1.076E+00,6.532,0.172,6.3,1.282E+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,0,55251.689462,null,null,null,null,null,null,null
38,0.637339,128.331006,6.6880425000E+01,2.8682030000E+01,66.8805833,28.6819202,0.2576,0.2966,-0.0648,15.406,0.168,6.5,1.561E+00,13.389,0.118,9.2,1.297E+00,8.199,0.039,27.9,1.261E+00,6.666,0.224,4.8,1.034E+00,1,0,0.000,0.000,0.000,0.000,0000,BBAB,0,55251.821766,1302765060,16.584,null,15.892,0.166,16.016,null
39,0.521977,107.292745,6.7093121000E+01,2.8746677000E+01,67.0932789,28.7466339,0.3382,0.3999,-0.0550,16.110,null,1.8,7.890E-01,13.425,0.141,7.7,1.184E+00,8.321,0.053,20.6,8.858E-01,6.360,0.176,6.2,1.077E+00,2,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55251.954070,null,null,null,null,null,null,null
40,0.538342,84.935811,6.7307732000E+01,2.8811476000E+01,67.3079020,28.8114892,0.2642,0.3114,-0.0845,16.186,null,1.8,4.883E-01,13.278,0.110,9.9,8.887E-01,8.218,0.040,27.4,7.742E-01,6.503,0.187,5.8,1.354E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55252.086374,null,null,null,null,null,null,null
41,1.016864,129.534632,6.7415880000E+01,2.8843820000E+01,67.4161287,28.8436402,0.3065,0.3408,-0.0512,16.377,0.373,2.9,9.497E-01,13.103,0.084,13.0,2.210E+00,8.320,0.055,19.8,1.956E+00,6.249,0.177,6.1,3.080E+00,2,0,0.000,0.000,0.000,0.000,0000,CAAB,0,55252.152590,null,null,null,null,null,null,null
42,0.461836,108.167648,6.7524282000E+01,2.8876412000E+01,67.5244212,28.8763720,0.2481,0.3218,-0.0227,16.318,null,1.6,4.323E-01,13.750,0.144,7.5,1.080E+00,8.161,0.042,25.8,1.272E+00,5.948,0.099,11.0,1.612E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAA,0,55252.218678,null,null,null,null,null,null,null
