	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455272.599930037	8.137	0.022	8.27	0.019	8.214	0.04	7.555	0.411
1	2455272.6000570366	8.104	0.021	8.246	0.022	8.251	0.044	7.705	0.506
2	2455272.798450037	8.337	0.017	8.576	0.018	8.341	0.048	7.284	
3	2455272.9307540366	11.189	0.025	11.385	0.031	10.781		7.506	
4	2455273.7247050367	12.722	0.133	12.448	0.075	10.986		7.823	
5	2455273.857009037	9.376	0.03	9.756	0.022	9.841	0.178	7.721	
6	2455398.5852620136	16.307	0.331	12.47	0.052	7.21	0.019	5.198	0.055
7	2455398.6513500134	16.095	0.256	12.847	0.065	7.48	0.023	5.503	0.07
