cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
18,3.035839,70.195576,2.6774098500E+02,7.0002577000E+01,267.7433051,70.0028627,1.7614,1.8902,-0.4672,16.611,null,1.4,8.148E-01,15.141,null,1.4,1.601E+00,10.696,0.258,4.2,9.072E-01,7.725,null,null,6.309E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55286.968283,null,null,null,null,null,null,null
19,1.915619,117.062720,2.6782608400E+02,7.0002386000E+01,267.8274696,70.0021439,1.1597,1.3197,-0.3525,17.030,null,null,1.388E+00,15.580,null,0.3,1.485E+00,10.121,0.152,7.1,1.142E+00,7.583,null,0.9,7.184E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55287.034626,null,null,null,null,null,null,null
20,2.669864,74.898828,2.6791078300E+02,7.0001823000E+01,267.9128767,70.0020162,1.2066,1.3368,-0.3977,17.041,null,null,1.228E+00,15.343,0.418,2.6,1.022E+00,10.501,0.203,5.3,9.490E-01,7.566,0.380,2.9,1.871E+00,2,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55287.100587,null,null,null,null,null,null,null
21,2.163866,113.813777,2.6799587600E+02,7.0001540000E+01,267.9974839,70.0012973,1.1983,1.3692,-0.3307,16.582,null,1.2,9.754E-01,15.243,0.330,3.3,1.369E+00,10.344,0.186,5.8,8.404E-01,7.412,null,1.4,5.577E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55287.166930,null,null,null,null,null,null,null
23,2.599249,130.082010,2.6816565700E+02,7.0000509000E+01,268.1672722,70.0000441,1.7358,1.9537,-0.4785,16.684,null,1.0,9.098E-01,14.946,null,1.5,8.344E-01,10.900,0.302,3.6,7.122E-01,7.902,0.519,2.1,2.183E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55287.299234,null,null,null,null,null,null,null
24,0.914288,117.151840,2.6833543000E+02,6.9999291000E+01,268.3360907,69.9991751,1.2672,1.4283,-0.3535,17.205,null,null,1.044E+00,14.909,0.275,4.0,1.123E+00,10.559,0.216,5.0,1.242E+00,7.877,null,0.3,5.672E-01,3,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55287.431538,null,null,null,null,null,null,null
27,1.081213,88.854881,2.6867508200E+02,6.9996403000E+01,268.6759598,69.9964090,1.1374,1.2765,-0.2339,16.726,null,1.0,7.304E-01,14.942,0.264,4.1,1.156E+00,10.628,0.215,5.0,7.821E-01,7.289,null,1.6,1.529E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55287.696274,null,null,null,null,null,null,null
28,0.772624,-23.106877,3.4540922000E+01,-3.4742930000E+01,34.5408195,-34.7427326,0.4500,0.4761,-0.1937,16.373,null,1.8,8.907E-01,13.963,0.123,8.8,5.068E-01,9.287,0.070,15.5,6.468E-01,7.779,0.449,2.4,1.466E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55386.155510,null,null,null,null,null,null,null
29,0.714745,-59.321312,3.4623777000E+01,-3.4822317000E+01,34.6235690,-34.8222157,0.4364,0.4560,-0.1431,17.069,null,null,1.024E+00,13.615,0.099,11.0,4.104E-01,9.280,0.074,14.6,1.340E+00,7.303,0.309,3.5,9.136E-01,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55386.287814,null,null,null,null,null,null,null
30,0.528120,-2.114576,3.4706324000E+01,-3.4901349000E+01,34.7063174,-34.9012024,0.4793,0.5099,-0.1647,16.944,0.477,2.3,6.638E-01,13.871,0.114,9.5,1.750E+00,9.298,0.077,14.1,1.839E+00,7.791,0.447,2.4,1.505E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55386.420117,null,null,null,null,null,null,null
31,0.317114,-65.592292,3.4788568000E+01,-3.4980035000E+01,34.7884701,-34.9799986,0.4356,0.4674,-0.1430,16.444,0.300,3.6,8.481E-01,13.926,0.119,9.1,1.596E+00,9.072,0.066,16.3,1.251E+00,7.915,0.525,2.1,1.002E+00,1,0,0.000,0.000,0.000,0.000,0000,BBAC,1,55386.552422,null,null,null,null,null,null,null
34,0.452536,0.485038,3.4870505000E+01,-3.5058371000E+01,34.8705063,-35.0582453,0.4884,0.5456,-0.1808,17.045,null,0.1,6.114E-01,14.072,0.136,8.0,2.108E+00,9.261,0.075,14.4,6.776E-01,7.020,0.238,4.6,1.043E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55386.684725,null,null,null,null,null,null,null
35,0.736640,-53.330574,3.4911388000E+01,-3.5097376000E+01,34.9111874,-35.0972538,0.4858,0.5353,-0.1736,16.897,null,0.4,1.291E+00,14.155,0.137,7.9,1.286E+00,9.398,0.079,13.7,1.043E+00,7.496,0.360,3.0,9.724E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55386.750941,null,null,null,null,null,null,null
36,0.544420,-29.052205,3.4952136000E+01,-3.5136360000E+01,34.9520462,-35.1362278,0.5046,0.5739,-0.1833,16.670,0.359,3.0,1.674E+00,14.178,0.156,6.9,9.416E-01,9.223,0.078,13.9,1.073E+00,7.445,0.386,2.8,7.712E-01,1,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55386.817029,null,null,null,null,null,null,null
37,0.689286,-40.266223,3.4992865000E+01,-3.5175195000E+01,34.9927136,-35.1750489,0.5357,0.5730,-0.1989,17.074,0.521,2.1,1.004E+00,14.339,0.162,6.7,1.085E+00,9.379,0.079,13.7,9.503E-01,7.828,0.491,2.2,1.101E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55386.883245,null,null,null,null,null,null,null
38,0.970555,-37.285534,3.5033461000E+01,-3.5214011000E+01,35.0332611,-35.2137965,0.5333,0.5826,-0.1725,17.021,0.507,2.1,9.117E-01,14.242,0.148,7.3,1.049E+00,9.381,0.084,13.0,1.352E+00,7.909,0.520,2.1,1.313E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55386.949333,null,null,null,null,null,null,null
39,0.682485,-27.863476,3.5074037000E+01,-3.5252679000E+01,35.0739285,-35.2525114,0.5523,0.5849,-0.2106,16.835,null,0.5,5.958E-01,14.482,0.185,5.9,7.400E-01,9.418,0.083,13.1,7.114E-01,7.254,0.286,3.8,6.619E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55387.015548,null,null,null,null,null,null,null
40,0.507209,49.286639,3.5154904000E+01,-3.5329825000E+01,35.1550349,-35.3297331,0.5897,0.6697,-0.1828,17.109,null,null,1.069E+00,14.366,0.173,6.3,6.051E-01,9.465,0.088,12.3,1.286E+00,7.746,0.464,2.3,7.705E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55387.147852,null,null,null,null,null,null,null
41,1.338701,-15.230828,3.5195194000E+01,-3.5368304000E+01,35.1950742,-35.3679452,0.6155,0.6751,-0.1910,16.516,null,0.8,5.549E-01,14.662,0.207,5.3,1.155E+00,9.509,0.089,12.2,1.133E+00,7.684,0.420,2.6,1.091E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55387.213940,null,null,null,null,null,null,null
42,0.144610,105.892951,3.5235465000E+01,-3.5406635000E+01,35.2355124,-35.4066460,0.6644,0.7284,-0.2358,16.978,0.488,2.2,6.233E-01,14.456,0.186,5.8,1.229E+00,9.634,0.103,10.5,1.092E+00,7.536,0.430,2.5,1.155E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55387.280156,null,null,null,null,null,null,null
43,1.007314,-102.969958,3.5275602000E+01,-3.5444947000E+01,35.2752673,-35.4450098,0.8651,0.9505,-0.2180,17.061,null,null,1.416E+00,15.337,0.406,2.7,1.470E+00,9.890,0.125,8.7,7.852E-01,7.697,0.435,2.5,1.276E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55387.346244,null,null,null,null,null,null,null
44,0.865173,-69.439978,3.5395669000E+01,-3.5559269000E+01,35.3953924,-35.5591846,0.8901,0.9679,-0.3217,16.763,null,0.6,4.866E-01,15.073,0.313,3.5,1.478E+00,9.918,0.131,8.3,9.738E-01,7.745,0.479,2.3,4.348E-01,2,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55387.544763,null,null,null,null,null,null,null
45,0.796174,44.847226,3.5475313000E+01,-3.5635098000E+01,35.4755049,-35.6349412,1.0251,1.1137,-0.3616,17.175,null,null,1.409E+00,15.507,0.464,2.3,1.277E+00,10.102,0.157,6.9,1.074E+00,7.311,0.324,3.4,9.313E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBB,1,55387.677067,null,null,null,null,null,null,null
46,0.100564,-102.403176,3.5554651000E+01,-3.5710601000E+01,35.5546174,-35.7106070,1.2981,1.4363,-0.4182,16.376,null,1.4,9.448E-01,15.148,null,1.4,1.777E+00,10.358,0.197,5.5,1.414E+00,7.226,null,2.0,1.276E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55387.809371,null,null,null,null,null,null,null
47,0.886939,-14.979376,3.5633683000E+01,-3.5785789000E+01,35.6336045,-35.7855510,0.8913,0.9549,-0.2530,17.120,0.533,2.0,8.594E-01,15.058,0.276,3.9,5.058E-01,10.234,0.165,6.6,1.348E+00,7.227,0.283,3.8,1.737E+00,1,0,0.000,0.000,0.000,0.000,0000,CBBB,1,55387.941674,null,null,null,null,null,null,null
