Name	Diam	Class	H	time
2017 LD	0.009	S*	27.5	-1
2017 LE	0.016	S*	26.4	-1
2017 MC1	0.039	S*	24.4	-1
2017 MO8	0.019	S*	26.0	-1
2017 NH	0.149	S*	21.5	-1
2017 PR25	0.155	S*	21.42	-1
2017 PS25	0.156	S*	21.4	-1
2017 QB35	0.004	S*	29.3	-1
2017 QG18	0.012	S*	27.0	-1
2017 QK	0.052	S*	23.8	-1
2017 QL33	0.157	S*	21.38	-1
2017 QT1	0.014	S*	26.7	-1
2017 VU	0.081	S*	22.81	-1
2017 QU17	0.018	S*	26.1	-1
2017 QW1	0.017	S*	26.2	-1
2017 QX1	0.033	S*	24.8	-1
2017 RB	0.007	S*	28.1	-1
2017 RB16	0.023	S*	25.6	-1
2017 RS2	0.016	S*	26.4	-1
2017 RU2	0.023	S*	25.6	-1
2017 RV2	0.017	S*	26.23	-1
2017 UK8	0.007	S*	28.2	-1
2017 VA15	0.028	S*	25.1	-1
2017 VC	0.068	S*	23.2	-1
2017 VC14	0.007	S*	28.2	-1
2017 VG1	0.038	S*	24.47	-1
2015 JD	0.024	S*	25.5	-1
2015 CZ12	0.025	S*	25.4	-1
2015 HW11	0.065	S*	23.3	-1
2009 TM8	0.006	S*	28.4	-1
2009 WV25	0.047	S*	24.0	-1
2009 WB	0.043	S*	24.2	-1
2009 UY19	0.062	S*	23.4	-1
2009 UU1	0.034	S*	24.7	-1
2009 UO3	0.075	S*	23.0	-1
2009 UD	0.011	S*	27.2	-1
2009 TO8	0.018	S*	26.1	-1
2009 SN103	0.009	S*	27.6	-1
2010 EK43	0.142	S*	21.6	-1
2009 SK15	0.026	S*	25.3	-1
2009 SH2	0.031	S*	24.9	-1
2009 SH15	0.037	S*	24.5	-1
2009 QH34	0.031	S*	24.9	-1
2009 KW2	0.014	S*	26.6	-1
2009 KL8	0.041	S*	24.3	-1
2009 HM82	0.086	S*	22.7	-1
2009 WV51	0.011	S*	27.1	-1
2009 WW104	0.094	S*	22.5	-1
2009 WY7	0.045	S*	24.1	-1
2009 XO2	0.059	S*	23.5	-1
2010 EC43	0.075	S*	23.0	-1
2010 DO	0.136	S*	21.7	-1
2010 DL	0.012	S*	27.0	-1
2010 CO44	0.036	S*	24.6	-1
2010 CK1	0.047	S*	24.0	-1
2010 CF55	0.136	S*	21.7	-1
2010 CE55	0.108	S*	22.2	-1
2010 CD55	0.065	S*	23.3	-1
2010 CC19	0.103	S*	22.3	-1
2010 BT3	0.156	S*	21.4	-1
2010 BK2	0.118	S*	22.0	-1
2010 AN2	0.108	S*	22.2	-1
2010 AL30	0.011	S*	27.2	-1
2010 AF30	0.136	S*	21.7	-1
2010 AE30	0.057	S*	23.6	-1
2009 HK73	0.016	S*	26.3	-1
2009 HG60	0.086	S*	22.7	-1
2009 FX4	0.025	S*	25.4	-1
2008 WA14	0.075	S*	23.0	-1
2008 VH14	0.057	S*	23.6	-1
2008 UT95	0.01	S*	27.4	-1
2008 UT5	0.037	S*	24.5	-1
2008 UT1	0.103	S*	22.3	-1
2008 UR2	0.012	S*	27.0	-1
2008 UR	0.012	S*	26.9	-1
2008 UP100	0.049	S*	23.9	-1
2008 TY9	0.03	S*	25.0	-1
2008 TX3	0.031	S*	24.9	-1
2008 TT26	0.057	S*	23.6	-1
2008 TC3	0.002	S*	30.9	-1
2008 SA	0.03	S*	25.0	-1
2008 MP1	0.124	S*	21.9	-1
2008 JL24	0.004	S*	29.6	-1
2008 HJ	0.021	S*	25.8	-1
2008 VU3	0.062	S*	23.4	-1
2008 WD14	0.069	S*	23.16	-1
2009 FP32	0.009	S*	27.7	-1
2008 WY94	0.023	S*	25.6	-1
2009 FK	0.007	S*	28.3	-1
2009 FJ	0.031	S*	24.9	-1
2009 FH	0.014	S*	26.6	-1
2009 EW	0.016	S*	26.4	-1
2009 EP2	0.142	S*	21.6	-1
2009 EM1	0.078	S*	22.9	-1
2009 DO111	0.082	S*	22.8	-1
2009 DD45	0.021	S*	25.8	-1
2009 CV	0.041	S*	24.3	-1
2009 BO5	0.013	S*	26.8	-1
2009 BK58	0.021	S*	25.8	-1
2009 BF2	0.02	S*	25.9	-1
2009 BD	0.007	S*	28.1	-1
2008 YY32	0.027	S*	25.2	-1
2008 XC1	0.054	S*	23.7	-1
2010 EG21	0.039	S*	24.4	-1
2010 FC	0.047	S*	24.0	-1
2015 HV11	0.045	S*	24.1	-1
2010 UC7	0.034	S*	24.7	-1
2010 VT11	0.149	S*	21.5	-1
2010 VO21	0.005	S*	28.7	-1
2010 VK139	0.055	S*	23.65	-1
2010 VD72	0.156	S*	21.4	-1
2010 VB1	0.068	S*	23.2	-1
2010 UX6	0.071	S*	23.1	-1
2010 UJ7	0.025	S*	25.4	-1
2010 TS19	0.021	S*	25.8	-1
2010 FD6	0.013	S*	26.8	-1
2010 TN4	0.009	S*	27.5	-1
2010 TG19	0.049	S*	23.9	-1
2010 TE55	0.007	S*	28.0	-1
2010 TD54	0.005	S*	28.9	-1
2010 SK13	0.01	S*	27.4	-1
2010 RQ64	0.017	S*	26.2	-1
2010 RJ53	0.047	S*	24.0	-1
2010 VW75	0.124	S*	21.9	-1
2010 VZ11	0.023	S*	25.6	-1
2010 WA	0.003	S*	30.0	-1
2010 WA9	0.023	S*	25.6	-1
2011 GP59	0.041	S*	24.3	-1
2011 GO65	0.077	S*	22.92	-1
2011 GM62	0.082	S*	22.8	-1
2011 CG2	0.156	S*	21.4	-1
2011 BG24	0.014	S*	26.6	-1
2011 BA45	0.149	S*	21.5	-1
2011 AV55	0.059	S*	23.5	-1
2011 AL37	0.041	S*	24.3	-1
2011 AA37	0.07	S*	23.13	-1
2010 YD	0.014	S*	26.6	-1
2010 XR69	0.025	S*	25.4	-1
2010 XM56	0.028	S*	25.1	-1
2010 XE11	0.075	S*	23.0	-1
2010 WC9	0.059	S*	23.5	-1
2010 WB	0.045	S*	24.1	-1
2010 RC130	0.108	S*	22.2	-1
2010 QG2	0.041	S*	24.3	-1
2010 PK9	0.13	S*	21.8	-1
2010 HF	0.017	S*	26.2	-1
2010 GZ5	0.082	S*	22.8	-1
2010 GX23	0.075	S*	23.0	-1
2010 GT6	0.156	S*	21.4	-1
2010 GL23	0.082	S*	22.8	-1
2010 GH7	0.01	S*	27.3	-1
2010 GF7	0.02	S*	25.9	-1
2010 GC6	0.156	S*	21.4	-1
2010 GB6	0.113	S*	22.1	-1
2010 FX9	0.043	S*	24.2	-1
2010 FW9	0.014	S*	26.7	-1
2010 FT	0.022	S*	25.7	-1
2010 FS	0.043	S*	24.2	-1
2010 FR9	0.018	S*	26.1	-1
2010 FK	0.052	S*	23.8	-1
2010 FF10	0.132	S*	21.76	-1
2010 HA	0.049	S*	23.9	-1
2010 HV20	0.124	S*	21.9	-1
2010 NR1	0.13	S*	21.8	-1
2010 JE88	0.149	S*	21.5	-1
2010 NK1	0.098	S*	22.4	-1
2010 MP1	0.156	S*	21.4	-1
2010 MG1	0.065	S*	23.3	-1
2010 LK61	0.124	S*	21.9	-1
2010 LK34	0.124	S*	21.9	-1
2010 LB64	0.132	S*	21.76	-1
2010 KV7	0.019	S*	26.0	-1
2010 KO10	0.011	S*	27.1	-1
2010 KK37	0.022	S*	25.7	-1
2010 KA8	0.156	S*	21.4	-1
2010 JW39	0.037	S*	24.5	-1
2010 JO71	0.049	S*	23.9	-1
2010 JL88	0.013	S*	26.8	-1
2010 JJ3	0.054	S*	23.7	-1
2010 JH3	0.026	S*	25.3	-1
2008 HA2	0.039	S*	24.4	-1
2008 GU20	0.078	S*	22.9	-1
2008 DG4	0.052	S*	23.8	-1
2001 WJ4	0.01	S*	27.4	-1
2002 CX58	0.103	S*	22.3	-1
2002 BF25	0.097	S*	22.42	-1
2002 AH29	0.149	S*	21.5	-1
2002 AA29	0.027	S*	25.2	-1
2001 XU4	0.054	S*	23.7	-1
2001 WV1	0.094	S*	22.5	-1
2001 WR5	0.078	S*	22.9	-1
2001 UF5	0.098	S*	22.4	-1
2008 CP116	0.078	S*	22.9	-1
2001 SQ3	0.142	S*	21.6	-1
2001 KU66	0.045	S*	24.1	-1
2001 JV1	0.15	S*	21.48	-1
2001 GR2	0.142	S*	21.6	-1
2001 EC16	0.103	S*	22.3	-1
2001 DS8	0.082	S*	22.8	-1
2001 CQ36	0.086	S*	22.7	-1
2002 EC	0.062	S*	23.4	-1
2002 GD10	0.086	S*	22.7	-1
2002 JR100	0.041	S*	24.3	-1
2002 LY1	0.103	S*	22.3	-1
2004 EU22	0.054	S*	23.7	-1
2004 BW18	0.094	S*	22.5	-1
2004 BV18	0.02	S*	25.9	-1
2004 BB75	0.071	S*	23.1	-1
2003 XV	0.014	S*	26.7	-1
2003 WT153	0.007	S*	28.0	-1
2003 SS84	0.13	S*	21.8	-1
2003 SR84	0.024	S*	25.44	-1
2003 EZ16	0.09	S*	22.6	-1
2003 EM1	0.037	S*	24.5	-1
2002 VO85	0.142	S*	21.6	-1
2002 UK11	0.136	S*	21.7	-1
2002 TZ66	0.02	S*	25.9	-1
2002 TP69	0.124	S*	21.89	-1
2002 TH68	0.149	S*	21.5	-1
2001 CP36	0.054	S*	23.7	-1
2001 BF10	0.09	S*	22.6	-1
2001 AV43	0.031	S*	24.9	-1
2000 KA	0.136	S*	21.7	-1
2000 EB14	0.051	S*	23.81	-1
2000 DO8	0.037	S*	24.54	-1
2000 AG6	0.033	S*	24.8	-1
1999 TY2	0.071	S*	23.1	-1
1999 TN13	0.057	S*	23.6	-1
1999 SH10	0.09	S*	22.6	-1
1999 SF10	0.047	S*	24.0	-1
1999 NW2	0.068	S*	23.2	-1
1998 WB2	0.113	S*	22.1	-1
1998 KY26	0.024	S*	25.5	-1
1998 BY7	0.151	S*	21.47	-1
1997 UR	0.068	S*	23.2	-1
1996 VB3	0.102	S*	22.32	-1
1995 HM	0.094	S*	22.5	-1
1995 CR	0.13	S*	21.8	-1
2000 HB24	0.048	S*	23.95	-1
2000 LF3	0.142	S*	21.6	-1
2000 YA	0.054	S*	23.7	-1
2000 RE52	0.103	S*	22.3	-1
2000 WS28	0.057	S*	23.6	-1
2000 WQ148	0.086	S*	22.7	-1
2000 WP19	0.086	S*	22.7	-1
2000 WN148	0.098	S*	22.4	-1
2000 WM10	0.021	S*	25.8	-1
2000 WL107	0.038	S*	24.44	-1
2000 WJ107	0.054	S*	23.7	-1
2000 WH10	0.094	S*	22.5	-1
2000 WG63	0.068	S*	23.2	-1
2000 WG10	0.062	S*	23.4	-1
2000 UO30	0.041	S*	24.3	-1
2000 UK11	0.026	S*	25.3	-1
2000 TL1	0.059	S*	23.5	-1
2000 SM10	0.045	S*	24.1	-1
2000 SL10	0.124	S*	21.9	-1
2004 FH	0.022	S*	25.7	-1
2004 GD	0.054	S*	23.7	-1
2004 GD2	0.041	S*	24.3	-1
2007 RE2	0.082	S*	22.8	-1
2007 PD8	0.09	S*	22.6	-1
2007 LW19	0.059	S*	23.5	-1
2007 LT	0.09	S*	22.6	-1
2007 KE4	0.027	S*	25.2	-1
2007 KE	0.094	S*	22.5	-1
2007 HL4	0.045	S*	24.1	-1
2007 HD84	0.059	S*	23.5	-1
2007 GY1	0.09	S*	22.6	-1
2007 GU1	0.03	S*	25.0	-1
2007 GQ3	0.118	S*	22.0	-1
2007 EV	0.03	S*	25.0	-1
2007 EO	0.082	S*	22.8	-1
2007 EK88	0.149	S*	21.5	-1
2007 EF	0.156	S*	21.4	-1
2007 DX	0.086	S*	22.7	-1
2007 PS9	0.059	S*	23.5	-1
2007 RH1	0.09	S*	22.6	-1
2007 DA	0.098	S*	22.4	-1
2007 RQ12	0.057	S*	23.6	-1
2008 CP	0.045	S*	24.1	-1
2008 CC71	0.031	S*	24.9	-1
2007 XO3	0.078	S*	22.9	-1
2007 XN16	0.024	S*	25.5	-1
2007 WU3	0.052	S*	23.8	-1
2007 VV83	0.034	S*	24.7	-1
2007 VH184	0.124	S*	21.9	-1
2007 VE191	0.057	S*	23.6	-1
2007 UG6	0.075	S*	23.0	-1
2007 UC2	0.075	S*	23.0	-1
2007 TU18	0.03	S*	25.0	-1
2007 TS24	0.065	S*	23.3	-1
2007 TQ24	0.113	S*	22.1	-1
2007 RY9	0.062	S*	23.4	-1
2007 RS146	0.065	S*	23.3	-1
2007 DD	0.02	S*	25.9	-1
2007 CX50	0.034	S*	24.7	-1
2004 HC39	0.149	S*	21.5	-1
2006 CL9	0.082	S*	22.8	-1
2005 WD	0.121	S*	21.95	-1
2005 UW5	0.009	S*	27.5	-1
2005 UE1	0.017	S*	26.2	-1
2005 ML13	0.094	S*	22.49	-1
2005 GB34	0.025	S*	25.4	-1
2005 EQ95	0.062	S*	23.4	-1
2004 XK3	0.039	S*	24.4	-1
2004 VJ1	0.045	S*	24.1	-1
2004 VB61	0.113	S*	22.1	-1
2004 UR	0.071	S*	23.1	-1
2004 TC18	0.047	S*	24.0	-1
2004 SS	0.124	S*	21.9	-1
2004 SC56	0.086	S*	22.7	-1
2004 KF17	0.018	S*	26.1	-1
2004 HZ	0.09	S*	22.6	-1
2006 AM4	0.13	S*	21.8	-1
2006 CT	0.103	S*	22.3	-1
2007 CQ5	0.113	S*	22.1	-1
2006 DD1	0.015	S*	26.5	-1
2007 BD	0.025	S*	25.4	-1
2006 YH14	0.068	S*	23.2	-1
2006 XY	0.043	S*	24.2	-1
2006 UA216	0.057	S*	23.6	-1
2006 SF77	0.142	S*	21.6	-1
2006 RH120	0.003	S*	29.9	-1
2006 MV1	0.013	S*	26.8	-1
2006 KS38	0.049	S*	23.9	-1
2006 KC	0.108	S*	22.2	-1
2006 KB1	0.039	S*	24.4	-1
2006 HX30	0.017	S*	26.2	-1
2006 HW50	0.039	S*	24.4	-1
2006 HU50	0.034	S*	24.7	-1
2006 HH56	0.047	S*	24.0	-1
2006 DR14	0.018	S*	26.1	-1
2011 HO53	0.068	S*	23.2	-1
2011 HP	0.132	S*	21.76	-1
2011 JL	0.123	S*	21.92	-1
2014 TZ17	0.086	S*	22.7	-1
2014 UV115	0.086	S*	22.7	-1
2014 UT33	0.062	S*	23.4	-1
2014 UR	0.014	S*	26.6	-1
2014 UN114	0.032	S*	24.82	-1
2014 UD57	0.021	S*	25.8	-1
2014 UC115	0.054	S*	23.7	-1
2014 UA176	0.014	S*	26.7	-1
2014 TZ	0.09	S*	22.6	-1
2014 HF5	0.026	S*	25.3	-1
2014 TV	0.039	S*	24.4	-1
2014 TT35	0.019	S*	26.0	-1
2014 TR57	0.027	S*	25.2	-1
2014 TP57	0.017	S*	26.2	-1
2014 TN17	0.149	S*	21.5	-1
2014 TM34	0.03	S*	25.0	-1
2014 TL17	0.078	S*	22.9	-1
2014 UV210	0.012	S*	26.9	-1
2014 UX7	0.023	S*	25.6	-1
2014 UY	0.026	S*	25.3	-1
2014 UY7	0.033	S*	24.8	-1
2014 WU200	0.004	S*	29.1	-1
2014 WS7	0.01	S*	27.3	-1
2014 WR6	0.026	S*	25.3	-1
2014 WQ201	0.086	S*	22.7	-1
2014 WP4	0.041	S*	24.3	-1
2014 WO69	0.057	S*	23.6	-1
2014 WJ201	0.033	S*	24.8	-1
2014 WF201	0.023	S*	25.6	-1
2014 WE121	0.057	S*	23.6	-1
2014 WE120	0.045	S*	24.1	-1
2014 WC201	0.017	S*	26.2	-1
2014 WB366	0.033	S*	24.8	-1
2014 WA366	0.012	S*	26.9	-1
2014 VP	0.082	S*	22.8	-1
2014 VH2	0.151	S*	21.47	-1
2014 TJ17	0.031	S*	24.9	-1
2014 SZ144	0.026	S*	25.3	-1
2014 SX261	0.094	S*	22.5	-1
2014 NL52	0.057	S*	23.6	-1
2014 MP5	0.13	S*	21.8	-1
2014 MD6	0.149	S*	21.5	-1
2014 KQ84	0.014	S*	26.7	-1
2014 KL22	0.036	S*	24.6	-1
2014 KH39	0.017	S*	26.2	-1
2014 KA91	0.024	S*	25.5	-1
2014 JR25	0.065	S*	23.3	-1
2014 JJ55	0.026	S*	25.3	-1
2014 JD	0.016	S*	26.3	-1
2014 HW	0.006	S*	28.4	-1
2014 HT46	0.014	S*	26.6	-1
2014 HS4	0.018	S*	26.1	-1
2014 HS184	0.065	S*	23.3	-1
2014 HO132	0.022	S*	25.7	-1
2014 HN178	0.059	S*	23.5	-1
2014 NE63	0.13	S*	21.8	-1
2014 OL339	0.078	S*	22.9	-1
2014 SU1	0.028	S*	25.1	-1
2014 OT111	0.136	S*	21.7	-1
2014 SS1	0.136	S*	21.7	-1
2014 SO142	0.039	S*	24.4	-1
2014 SF304	0.01	S*	27.3	-1
2014 SF145	0.089	S*	22.61	-1
2014 SC324	0.041	S*	24.3	-1
2014 SB145	0.016	S*	26.3	-1
2014 RF11	0.052	S*	23.8	-1
2014 RC	0.013	S*	26.8	-1
2014 QV295	0.031	S*	24.9	-1
2014 QQ33	0.113	S*	22.1	-1
2014 QO33	0.142	S*	21.6	-1
2014 QK362	0.142	S*	21.6	-1
2014 OZ337	0.094	S*	22.5	-1
2014 OV3	0.068	S*	23.2	-1
2014 OT338	0.156	S*	21.4	-1
2014 WX202	0.004	S*	29.6	-1
2014 WX4	0.016	S*	26.4	-1
2014 WY119	0.016	S*	26.3	-1
2015 FG120	0.078	S*	22.9	-1
2015 ET	0.014	S*	26.7	-1
2015 EQ	0.018	S*	26.1	-1
2015 EP	0.019	S*	26.0	-1
2015 EO	0.013	S*	26.8	-1
2015 EL7	0.086	S*	22.7	-1
2015 EK	0.016	S*	26.3	-1
2015 EG	0.023	S*	25.6	-1
2015 EF	0.013	S*	26.8	-1
2015 DZ198	0.036	S*	24.6	-1
2015 DU	0.016	S*	26.37	-1
2015 DT	0.067	S*	23.24	-1
2015 DS53	0.043	S*	24.2	-1
2015 DS	0.031	S*	24.9	-1
2015 DP53	0.039	S*	24.4	-1
2015 DO215	0.014	S*	26.6	-1
2015 FC	0.014	S*	26.6	-1
2015 FG36	0.054	S*	23.7	-1
2015 DC54	0.018	S*	26.1	-1
2015 FG37	0.136	S*	21.7	-1
2015 HU9	0.062	S*	23.4	-1
2015 HS11	0.011	S*	27.1	-1
2015 HS1	0.034	S*	24.7	-1
2015 HR1	0.041	S*	24.3	-1
2015 HO116	0.024	S*	25.5	-1
2015 HM10	0.057	S*	23.6	-1
2015 HB177	0.036	S*	24.6	-1
2015 HB117	0.057	S*	23.6	-1
2015 GC14	0.033	S*	24.8	-1
2015 FY284	0.136	S*	21.7	-1
2015 FX33	0.022	S*	25.7	-1
2015 FW33	0.021	S*	25.8	-1
2015 FQ	0.103	S*	22.3	-1
2015 FP	0.027	S*	25.2	-1
2015 FL290	0.108	S*	22.2	-1
2015 DK200	0.023	S*	25.6	-1
1994 CJ1	0.156	S*	21.4	-1
2014 WZ4	0.059	S*	23.5	-1
2015 BD	0.047	S*	24.0	-1
2015 AP44	0.017	S*	26.2	-1
2015 AN44	0.027	S*	25.2	-1
2015 AK45	0.016	S*	26.4	-1
2015 AK1	0.041	S*	24.3	-1
2015 AF44	0.019	S*	25.98	-1
2015 AA44	0.049	S*	23.9	-1
2014 YZ8	0.054	S*	23.7	-1
2014 YW34	0.136	S*	21.7	-1
2014 YU41	0.052	S*	23.8	-1
2014 YT34	0.034	S*	24.7	-1
2014 YN	0.022	S*	25.7	-1
2014 YD42	0.108	S*	22.2	-1
2014 YD	0.041	S*	24.3	-1
2014 YC	0.108	S*	22.2	-1
2014 XF32	0.119	S*	21.98	-1
2015 AZ43	0.059	S*	23.5	-1
2015 BF511	0.033	S*	24.8	-1
2015 CW13	0.078	S*	22.9	-1
2015 BG92	0.028	S*	25.1	-1
2015 CW12	0.075	S*	23.0	-1
2015 CS	0.016	S*	26.4	-1
2015 CQ13	0.022	S*	25.7	-1
2015 CO	0.017	S*	26.2	-1
2015 CN13	0.065	S*	23.3	-1
2015 CM	0.018	S*	26.1	-1
2015 CG	0.023	S*	25.6	-1
2015 CF	0.059	S*	23.5	-1
2015 CD1	0.007	S*	28.2	-1
2015 CB1	0.024	S*	25.5	-1
2015 BZ310	0.147	S*	21.53	-1
2015 BM510	0.028	S*	25.1	-1
2015 BK509	0.086	S*	22.68	-1
2015 BK4	0.031	S*	24.9	-1
2015 BK	0.148	S*	21.52	-1
2014 HM2	0.13	S*	21.8	-1
2014 HE177	0.021	S*	25.8	-1
2011 KN17	0.09	S*	22.6	-1
2011 YH40	0.078	S*	22.9	-1
2012 BM86	0.125	S*	21.88	-1
2012 BK11	0.086	S*	22.7	-1
2012 BJ11	0.123	S*	21.92	-1
2012 BF86	0.09	S*	22.6	-1
2012 BF14	0.054	S*	23.7	-1
2012 BE77	0.13	S*	21.8	-1
2011 YU74	0.075	S*	23.0	-1
2011 XL1	0.098	S*	22.4	-1
2014 HB177	0.007	S*	28.1	-1
2011 XF	0.086	S*	22.7	-1
2011 XD1	0.049	S*	23.9	-1
2011 WK74	0.103	S*	22.3	-1
2011 WJ15	0.027	S*	25.2	-1
2011 WF69	0.142	S*	21.6	-1
2011 WF44	0.026	S*	25.3	-1
2011 UW114	0.122	S*	21.93	-1
2012 BR23	0.156	S*	21.4	-1
2012 BX34	0.009	S*	27.6	-1
2012 CL29	0.071	S*	23.1	-1
2012 CM29	0.113	S*	22.1	-1
2012 GK	0.098	S*	22.4	-1
2012 GG11	0.136	S*	21.7	-1
2012 GF1	0.113	S*	22.1	-1
2012 GD5	0.094	S*	22.5	-1
2012 FT62	0.033	S*	24.8	-1
2012 FR52	0.068	S*	23.2	-1
2012 FP52	0.036	S*	24.6	-1
2012 FG58	0.118	S*	22.0	-1
2012 FA14	0.071	S*	23.1	-1
2012 EG5	0.041	S*	24.3	-1
2012 DW30	0.087	S*	22.67	-1
2012 DV32	0.13	S*	21.8	-1
2012 DR32	0.033	S*	24.8	-1
2012 DE54	0.124	S*	21.9	-1
2012 CZ52	0.136	S*	21.7	-1
2011 UV158	0.113	S*	22.1	-1
2011 UT91	0.071	S*	23.1	-1
2011 UT	0.019	S*	26.0	-1
2011 QT2	0.091	S*	22.58	-1
2011 QH33	0.136	S*	21.7	-1
2011 QE38	0.108	S*	22.2	-1
2011 QE2	0.118	S*	22.0	-1
2011 PZ	0.118	S*	22.0	-1
2011 PX	0.13	S*	21.8	-1
2011 OY4	0.043	S*	24.2	-1
2011 OY17	0.124	S*	21.9	-1
2011 OV17	0.065	S*	23.3	-1
2011 OS15	0.043	S*	24.2	-1
2011 OJ45	0.019	S*	26.0	-1
2011 OJ10	0.108	S*	22.2	-1
2011 OE	0.065	S*	23.3	-1
2011 MD	0.007	S*	28.0	-1
2011 LY20	0.098	S*	22.4	-1
2011 LS17	0.09	S*	22.6	-1
2011 QS21	0.136	S*	21.7	-1
2011 QU37	0.057	S*	23.6	-1
2011 UQ63	0.043	S*	24.2	-1
2011 QY47	0.136	S*	21.7	-1
2011 UM21	0.09	S*	22.6	-1
2011 UL147	0.124	S*	21.9	-1
2011 UG169	0.02	S*	25.85	-1
2011 UE63	0.103	S*	22.3	-1
2011 TN9	0.157	S*	21.39	-1
2011 ST232	0.156	S*	21.4	-1
2011 SP26	0.052	S*	23.8	-1
2011 SN26	0.065	S*	23.3	-1
2011 SH16	0.118	S*	22.0	-1
2011 SG47	0.142	S*	21.6	-1
2011 SG173	0.03	S*	25.0	-1
2011 SE248	0.098	S*	22.4	-1
2011 RY	0.082	S*	22.8	-1
2011 RX	0.065	S*	23.3	-1
2011 RH1	0.082	S*	22.8	-1
2012 GM11	0.071	S*	23.1	-1
2012 GY17	0.124	S*	21.9	-1
2012 HG2	0.012	S*	27.0	-1
2014 CP13	0.071	S*	23.1	-1
2014 BR57	0.049	S*	23.9	-1
2014 BR43	0.149	S*	21.5	-1
2013 YS2	0.054	S*	23.7	-1
2013 YL2	0.071	S*	23.1	-1
2013 YG	0.025	S*	25.4	-1
2013 XY8	0.03	S*	25.0	-1
2013 XY20	0.023	S*	25.6	-1
2013 XX8	0.031	S*	24.88	-1
2013 XV8	0.13	S*	21.8	-1
2013 XA4	0.149	S*	21.5	-1
2013 XA22	0.078	S*	22.9	-1
2013 WS43	0.086	S*	22.7	-1
2013 WA44	0.063	S*	23.37	-1
2013 VJ2	0.142	S*	21.6	-1
2013 VA10	0.103	S*	22.31	-1
2014 CG13	0.098	S*	22.4	-1
2014 CS13	0.047	S*	24.0	-1
2013 UG1	0.094	S*	22.5	-1
2014 CU13	0.124	S*	21.9	-1
2014 GQ17	0.011	S*	27.1	-1
2014 GN1	0.045	S*	24.1	-1
2014 GG49	0.022	S*	25.7	-1
2014 FR52	0.049	S*	23.9	-1
2014 FP47	0.103	S*	22.3	-1
2014 FF	0.043	S*	24.2	-1
2014 FB44	0.024	S*	25.5	-1
2014 FA7	0.014	S*	26.7	-1
2014 FA44	0.033	S*	24.8	-1
2014 EY24	0.045	S*	24.1	-1
2014 EM	0.025	S*	25.4	-1
2014 DX110	0.022	S*	25.7	-1
2014 DJ80	0.016	S*	26.3	-1
2014 DH10	0.021	S*	25.8	-1
2014 DF80	0.022	S*	25.7	-1
2013 UH5	0.045	S*	24.1	-1
2013 UE1	0.039	S*	24.4	-1
2012 HH31	0.052	S*	23.8	-1
2013 CR35	0.094	S*	22.49	-1
2012 YN6	0.101	S*	22.35	-1
2012 XS111	0.107	S*	22.21	-1
2012 XQ93	0.136	S*	21.7	-1
2012 XO134	0.042	S*	24.26	-1
2012 XE54	0.025	S*	25.4	-1
2012 VP76	0.048	S*	23.96	-1
2012 UX136	0.023	S*	25.6	-1
2012 TV	0.027	S*	25.2	-1
2012 TC4	0.014	S*	26.7	-1
2012 KU12	0.142	S*	21.6	-1
2012 KT42	0.005	S*	28.79	-1
2012 KP24	0.014	S*	26.61	-1
2012 KN11	0.124	S*	21.9	-1
2012 JU11	0.03	S*	25.0	-1
2012 HM	0.045	S*	24.1	-1
2013 BS45	0.02	S*	25.9	-1
2013 ET	0.071	S	23.1	-1
2013 TL	0.108	S*	22.2	-1
2013 NH4	0.021	S*	25.8	-1
2013 TG6	0.014	S*	26.6	-1
2013 TE6	0.13	S*	21.8	-1
2013 SY19	0.033	S*	24.8	-1
2013 SU24	0.037	S*	24.5	-1
2013 SR	0.045	S*	24.1	-1
2013 SO19	0.13	S*	21.8	-1
2013 SB21	0.012	S*	27.0	-1
2013 QR1	0.142	S*	21.6	-1
2013 PR43	0.062	S*	23.4	-1
2013 PJ10	0.036	S*	24.6	-1
2013 PH3	0.054	S*	23.7	-1
2013 PH10	0.065	S*	23.3	-1
2013 PC7	0.098	S*	22.4	-1
2013 NQ8	0.118	S*	22.0	-1
2013 NJ	0.104	S*	22.27	-1
2012 NP	0.16	S*	21.34	-1
