Name	Diam	Class	H	time
2014 QT295	0.02	S*	25.9	2014
2014 KO76	0.049	S*	23.9	2014
2014 WK368	0.156	S*	21.4	2014
2014 EQ49	0.13	S*	21.8	2014
2014 RQ17	0.103	S*	22.3	2014
2014 SV141	0.142	S*	21.6	2014
2014 RH12	0.059	S*	23.5	2014
2014 JL25	0.075	S*	23.0	2014
2014 BR8	0.136	S*	21.7	2014
2014 BH25	0.142	S*	21.6	2014
2014 SU260	0.13	S*	21.8	2014
2014 BE63	0.068	S*	23.2	2014
2014 MS5	0.086	S*	22.7	2014
2015 BW310	0.118	S*	22.0	2014
2014 VL6	0.157	S*	21.39	2014
2014 VG2	0.086	S*	22.7	2014
2014 NM64	0.09	S*	22.6	2014
2014 FD	0.024	S*	25.5	2014
2014 SD224	0.1	S*	22.36	2014
2014 UG176	0.149	S*	21.5	2014
2014 MF18	0.018	S*	26.1	2014
2014 AG16	0.086	S*	22.7	2013
2013 YP139	0.142	S*	21.6	2013
2011 BY24	0.09	S*	22.6	2011
2010 FB81	0.156	S*	21.4	2010
2010 NY65	0.158	S*	21.37	2010
2010 CC55	0.094	S*	22.5	2010
1994 CB	0.156	S*	21.4	2010
2010 DG77	0.156	S*	21.4	2010
2010 CB55	0.086	S*	22.7	2010
2010 FG81	0.065	S*	23.3	2010
2010 FE7	0.054	S*	23.7	2010
2010 FD7	0.113	S*	22.1	2010
2010 CA55	0.108	S*	22.2	2010
2002 LT24	0.116	S*	22.05	2010
2010 DH77	0.156	S*	21.4	2010
2016 UH101	0.086	S*	22.7	2010
2010 FC81	0.13	S*	21.8	2010
2019 DD2	0.142	S*	21.6	2010
2010 BC	0.108	S*	22.2	2010
2010 XP69	0.156	S*	21.4	2010
2010 AJ30	0.084	S*	22.74	2010
2010 AG40	0.118	S*	22.0	2010
2010 DX1	0.142	S*	21.6	2010
2010 EX11	0.045	S*	24.1	2010
2010 FA81	0.098	S*	22.4	2010
2010 CO1	0.124	S*	21.9	2010
2010 BH115	0.0	C*	99.99	2010
2010 FH81	0.142	S*	21.6	2010
2010 MY1	0.049	S*	23.9	2010
2008 NP3	0.081	S*	22.83	2010
2010 LH14	0.113	S*	22.11	2010
2003 MA3	0.136	S*	21.7	2010
2010 LJ68	0.086	S*	22.7	2010
2010 LK68	0.094	S*	22.5	2010
2010 LL68	0.078	S*	22.9	2010
2010 LV108	0.09	S*	22.6	2010
