cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
2,0.915263,-36.716308,1.5836246700E+02,-2.8726000000E-01,158.3623150,-0.2870562,1.7979,1.9567,0.5591,16.848,null,0.4,7.546E-01,15.162,null,1.2,6.131E-01,10.516,0.249,4.4,8.235E-01,7.800,null,null,7.654E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55342.785348,null,null,null,null,null,null,null
5,0.817471,-137.643098,1.5844330200E+02,-6.1598500000E-01,158.4431490,-0.6161528,1.5232,1.6678,0.4697,16.312,0.299,3.6,5.451E-01,15.663,null,null,9.312E-01,10.805,0.349,3.1,1.459E+00,7.629,null,0.4,7.536E-01,1,0,0.000,0.000,0.000,0.000,0000,BUBU,1,55343.182259,null,null,null,null,null,null,null
13,2.523927,91.446671,1.5856782300E+02,-1.1144480000E+00,158.5685240,-1.1144657,1.4961,1.6274,0.0520,16.316,null,1.9,6.338E-01,15.249,null,0.8,5.291E-01,10.413,0.235,4.6,1.083E+00,7.789,0.524,2.1,1.070E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55343.777558,null,null,null,null,null,null,null
15,1.350646,4.141251,1.5859599000E+02,-1.2258930000E+00,158.5960171,-1.2255188,1.3292,1.4416,0.3470,16.603,null,1.3,9.007E-01,15.421,0.459,2.4,1.144E+00,10.643,0.289,3.8,7.075E-01,7.263,0.317,3.4,7.430E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBB,1,55343.909734,null,null,null,null,null,null,null
19,0.567167,-85.011349,1.5865300200E+02,-1.4502980000E+00,158.6528450,-1.4502843,1.6775,1.8810,0.6955,17.046,null,null,9.835E-01,14.833,null,1.9,5.769E-01,10.391,0.231,4.7,1.136E+00,7.458,null,0.8,1.580E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55344.174342,null,null,null,null,null,null,null
20,0.712506,2.692263,1.5868180200E+02,-1.5630020000E+00,158.6818113,-1.5628043,2.1253,2.4280,0.6103,16.784,null,0.4,1.653E+00,15.616,null,0.1,1.371E+00,10.579,0.289,3.8,7.459E-01,7.380,null,0.3,2.215E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55344.306646,null,null,null,null,null,null,null
25,3.335444,-102.067498,1.5879890900E+02,-2.0169000000E+00,158.7980024,-2.0170937,1.7302,1.8486,0.4169,16.463,null,1.1,1.509E+00,14.948,null,1.6,8.816E-01,10.856,0.332,3.3,1.393E+00,7.670,0.438,2.5,2.207E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55344.835734,null,null,null,null,null,null,null
26,0.284609,-170.615545,1.5882868800E+02,-2.1312840000E+00,158.8286751,-2.1313620,1.4721,1.6345,0.4545,17.043,null,null,1.123E+00,15.560,null,0.1,8.495E-01,10.311,0.199,5.5,1.406E+00,7.352,null,1.4,1.347E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55344.968038,null,null,null,null,null,null,null
27,1.234352,47.032153,1.6699192100E+02,-2.6023111000E+01,166.9922002,-26.0228773,1.7111,1.8823,0.7134,16.978,null,null,9.494E-01,14.971,null,1.0,9.950E-01,10.385,0.219,5.0,1.295E+00,7.925,null,null,2.005E+00,1,0,0.000,0.000,0.000,0.000,000d,UUBU,0,55366.595316,null,null,null,null,null,null,null
29,1.797257,141.554015,1.7090157200E+02,-3.4196574000E+01,170.9019473,-34.1969650,1.7620,1.8400,0.5909,17.078,null,null,1.395E+00,15.628,null,null,8.410E-01,10.731,0.257,4.2,1.302E+00,7.223,null,2.0,7.694E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55372.349192,null,null,null,null,null,null,null
