cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
39,1.237930,-144.142833,2.6909537500E+02,6.4801473000E+01,269.0949019,64.8011943,1.8462,2.0264,-0.1331,17.259,null,null,1.144E+00,15.108,null,1.5,1.381E+00,10.827,0.288,3.8,1.062E+00,7.296,null,1.2,1.206E+00,2,0,0.000,0.000,0.000,0.000,0H00,UUBU,1,55266.856411,null,null,null,null,null,null,null
40,1.823132,145.567939,2.6911141800E+02,6.4787349000E+01,269.1120902,64.7869313,1.3582,1.4267,-0.0686,17.179,null,null,8.338E-01,15.267,0.446,2.4,4.682E-01,10.494,0.231,4.7,7.616E-01,7.225,null,1.9,8.393E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55266.922754,null,null,null,null,null,null,null
41,1.270825,-69.243965,2.6912707300E+02,6.4772882000E+01,269.1262985,64.7730071,1.4550,1.6242,0.2499,16.771,null,1.1,7.532E-01,15.183,null,1.2,7.206E-01,10.672,0.236,4.6,9.202E-01,7.850,0.458,2.4,1.095E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55266.988715,null,null,null,null,null,null,null
42,2.548450,-98.848476,2.6914301200E+02,6.4758718000E+01,269.1413717,64.7586091,1.7509,1.9843,0.2228,17.075,null,null,9.726E-01,15.525,0.488,2.2,1.129E+00,10.782,0.285,3.8,7.833E-01,7.903,null,null,1.293E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55267.055058,null,null,null,null,null,null,null
43,2.194926,-179.863675,2.6915856400E+02,6.4744210000E+01,269.1585606,64.7436003,2.0504,2.2162,0.2497,16.403,null,1.8,1.058E+00,15.160,null,1.4,8.660E-01,11.286,0.419,2.6,1.204E+00,7.399,null,1.4,9.433E-01,1,0,0.000,0.000,0.000,0.000,0000,UUCU,1,55267.121019,null,null,null,null,null,null,null
44,2.047984,8.922715,2.6917439900E+02,6.4730007000E+01,269.1746057,64.7305690,1.7562,2.0301,0.2576,17.244,null,null,9.606E-01,15.669,null,null,9.852E-01,10.784,0.287,3.8,6.856E-01,7.251,null,1.7,1.189E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55267.187362,null,null,null,null,null,null,null
46,3.645415,54.882465,2.6920558200E+02,6.4701216000E+01,269.2075203,64.7017985,1.4428,1.7082,0.3433,16.594,0.366,3.0,1.186E+00,15.817,null,null,7.856E-01,10.780,0.273,4.0,8.270E-01,8.028,null,null,6.167E-01,1,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55267.319666,null,null,null,null,null,null,null
48,4.433151,27.508725,2.6926744700E+02,6.4643492000E+01,269.2687752,64.6445842,0.1078,0.1098,0.0058,12.116,0.026,42.5,6.760E-01,12.091,0.036,30.0,9.805E-01,10.674,0.352,3.1,2.129E+00,5.899,0.316,3.4,3.493E+00,1,0,0.000,0.000,0.000,0.000,0000,AABB,1,55267.584401,687221488,12.553,0.023,12.207,0.021,12.146,0.023
49,0.443345,-48.002666,2.6928259500E+02,6.4628818000E+01,269.2823814,64.6289004,1.8413,2.1231,0.2600,16.715,null,1.1,7.879E-01,15.588,null,null,1.509E+00,10.772,0.281,3.9,7.801E-01,7.464,null,1.2,1.484E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55267.650362,null,null,null,null,null,null,null
50,0.834341,112.208079,2.6929801900E+02,6.4614452000E+01,269.2985195,64.6143644,1.6703,1.8727,0.4171,17.137,null,null,9.103E-01,15.353,null,0.9,6.452E-01,10.782,0.267,4.1,1.476E+00,7.849,0.465,2.3,8.577E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55267.716705,null,null,null,null,null,null,null
