	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455265.652887036	12.717	0.029	12.844	0.055	10.859	0.344	7.791	
1	2455259.896714035	13.366	0.048	14.293	0.194	11.076		6.999	0.365
2	2455259.632106035	14.639	0.088	15.108	0.438	11.271		7.775	
3	2455261.153915035	14.801	0.103	14.719		10.571		7.226	
4	2455261.4185230355	15.575	0.192	14.947		10.076		6.937	0.238
5	2455264.395808036	15.408	0.197	15.071		11.162		7.485	0.408
6	2455373.8787190216	16.816	0.435	14.859	0.264	8.848	0.061	6.48	0.153
7	2455373.9448070214	16.723	0.457	14.936		8.869	0.059	6.789	0.209
