	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
100	2455258.138305035	16.676		14.556	0.199	9.53	0.096	7.818	0.502
101	2455258.204393035	16.758		15.123	0.343	9.44	0.086	7.469	0.337
102	2455258.2706090347	17.123		14.461	0.197	9.457	0.098	7.364	
103	2455258.336698035	16.512		15.24	0.441	9.525	0.09	7.21	
104	2455258.3368250346	16.765		14.82	0.255	9.55	0.105	7.247	
105	2455258.402913035	16.954		15.256	0.383	9.621	0.103	7.474	
106	2455258.469129035	16.695	0.424	14.292	0.256	10.071	0.151	7.372	
107	2455258.601433035	17.075		15.479		10.171	0.194	7.741	0.503
108	2455258.667649035	16.96		15.205		10.578	0.263	7.812	0.537
109	2455258.7337370347	16.613		15.256		10.117	0.154	7.188	0.278
110	2455258.7999530346	16.46		15.158		10.05	0.158	7.333	
111	2455258.932257035	15.921	0.2	14.132	0.158	9.73	0.113	7.214	
112	2455259.064561035	16.333	0.289	15.103	0.385	9.736	0.112	7.756	0.467
113	2455259.1968650348	17.151		14.843	0.249	9.764	0.114	7.242	0.274
114	2455259.196992035	16.672		15.496	0.429	10.078	0.15	7.913	
115	2455259.329297035	13.435	0.039	13.499	0.092	10.675		7.621	0.415
116	2455259.4616010347	17.06		15.303	0.376	10.139	0.176	7.7	0.456
117	2455259.593905035	16.324	0.297	14.972	0.352	9.924	0.124	7.423	
118	2455259.726209035	17.034	0.527	14.996	0.312	9.89	0.128	7.296	
119	2455259.858641035	16.281	0.325	14.794	0.249	10.056	0.152	7.111	
120	2455259.990945035	16.907		15.412	0.441	10.182	0.174	7.975	
121	2455260.1232430353	17.041		15.678		10.27	0.178	7.123	
122	2455260.255547035	17.024		15.689		10.353	0.194	7.902	0.512
123	2455260.520282035	16.79	0.457	15.436		9.837	0.143	7.407	
124	2455260.652586035	17.021		15.5		9.606	0.104	7.453	0.363
125	2455260.784890035	16.569		15.044	0.307	10.068	0.153	7.483	
126	2455260.9171940354	17.079		14.784	0.246	9.942	0.131	7.223	
127	2455260.917321035	16.588		14.815	0.264	10.687	0.299	7.774	
128	2455261.0496250354	16.846		15.565		10.271	0.223	7.353	
129	2455261.181929035	17.084		15.583		9.977	0.153	7.085	
