,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
14,35,2.238072,13.777131,2.6904748700e+02,6.4844265000e+01,269.0478353,64.8448688,17h56m11.48s,64d50m41.53s,1.5952,1.8791,0.4693,16.839,null,0.5,1.245e+00,15.742,null,null,1.346e+00,10.546,0.220,4.9,1.373e+00,7.928,null,null,1.005e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55266.658019,null,null,null,null,null,null,null
15,36,1.231242,-37.039488,2.6906346000e+02,6.4829985000e+01,269.0629756,64.8302580,17h56m15.11s,64d49m48.93s,0.9449,0.9933,-0.0844,15.987,0.226,4.8,1.074e+00,15.338,0.335,3.2,1.107e+00,10.433,0.202,5.4,6.672e-01,7.290,null,1.7,1.594e+00,2,0,0.000,0.000,0.000,0.000,0000,BBBU,1,55266.724107,null,null,null,null,null,null,null
16,39,1.232839,-144.760451,2.6909536600e+02,6.4801474000e+01,269.0949019,64.8011943,17h56m22.78s,64d48m04.30s,1.8462,2.0264,-0.1331,17.259,null,null,1.144e+00,15.108,null,1.5,1.381e+00,10.827,0.288,3.8,1.062e+00,7.296,null,1.2,1.206e+00,2,0,0.000,0.000,0.000,0.000,0H00,UUBU,1,55266.856411,null,null,null,null,null,null,null
17,40,1.833929,145.275876,2.6911140900e+02,6.4787350000e+01,269.1120902,64.7869313,17h56m26.90s,64d47m12.95s,1.3582,1.4267,-0.0686,17.179,null,null,8.338e-01,15.267,0.446,2.4,4.682e-01,10.494,0.231,4.7,7.616e-01,7.225,null,1.9,8.393e-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55266.922754,null,null,null,null,null,null,null
18,41,1.256638,-69.174329,2.6912706400e+02,6.4772883000e+01,269.1262985,64.7730071,17h56m30.31s,64d46m22.83s,1.4550,1.6242,0.2499,16.771,null,1.1,7.532e-01,15.183,null,1.2,7.206e-01,10.672,0.236,4.6,9.202e-01,7.850,0.458,2.4,1.095e+00,2,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55266.988715,null,null,null,null,null,null,null
19,42,2.535358,-98.976899,2.6914300300e+02,6.4758719000e+01,269.1413717,64.7586091,17h56m33.93s,64d45m30.99s,1.7509,1.9843,0.2228,17.075,null,null,9.726e-01,15.525,0.488,2.2,1.129e+00,10.782,0.285,3.8,7.833e-01,7.903,null,null,1.293e+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55267.055058,null,null,null,null,null,null,null
20,43,2.198537,179.775833,2.6915855500e+02,6.4744211000e+01,269.1585606,64.7436003,17h56m38.05s,64d44m36.96s,2.0504,2.2162,0.2497,16.403,null,1.8,1.058e+00,15.160,null,1.4,8.660e-01,11.286,0.419,2.6,1.204e+00,7.399,null,1.4,9.433e-01,1,0,0.000,0.000,0.000,0.000,0000,UUCU,1,55267.121019,null,null,null,null,null,null,null
21,44,2.046622,9.320860,2.6917439000e+02,6.4730008000e+01,269.1746057,64.7305690,17h56m41.91s,64d43m50.05s,1.7562,2.0301,0.2576,17.244,null,null,9.606e-01,15.669,null,null,9.852e-01,10.784,0.287,3.8,6.856e-01,7.251,null,1.7,1.189e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55267.187362,null,null,null,null,null,null,null
22,46,3.654686,55.053490,2.6920557300e+02,6.4701217000e+01,269.2075203,64.7017985,17h56m49.80s,64d42m06.47s,1.4428,1.7082,0.3433,16.594,0.366,3.0,1.186e+00,15.817,null,null,7.856e-01,10.780,0.273,4.0,8.270e-01,8.028,null,null,6.167e-01,1,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55267.319666,null,null,null,null,null,null,null
23,48,4.439577,27.667542,2.6926743800e+02,6.4643492000e+01,269.2687752,64.6445842,17h57m04.51s,64d38m40.50s,0.1078,0.1098,0.0058,12.116,0.026,42.5,6.760e-01,12.091,0.036,30.0,9.805e-01,10.674,0.352,3.1,2.129e+00,5.899,0.316,3.4,3.493e+00,1,0,0.000,0.000,0.000,0.000,0000,AABB,1,55267.584401,687221488,12.553,0.023,12.207,0.021,12.146,0.023
