,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,0.640501,-61.790782,1.2721894200e+02,-7.8574000000e-01,127.2187852,-0.7856559,08h28m52.51s,-00d47m08.36s,1.3219,1.5076,0.3401,16.640,null,1.2,6.820e-01,15.133,null,1.1,1.193e+00,10.351,0.197,5.5,1.139e+00,7.356,null,1.3,3.239e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55311.559422,null,null,null,null,null,null,null
1,2,0.790966,153.425030,1.2714613500e+02,-7.0631000000e-01,127.1462333,-0.7065065,08h28m35.10s,-00d42m23.42s,0.8967,1.0081,0.2574,17.120,null,null,1.201e+00,15.393,null,0.2,7.665e-01,9.826,0.129,8.4,9.900e-01,7.172,0.297,3.7,1.278e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55311.691726,null,null,null,null,null,null,null
2,3,0.360301,-143.738566,1.2707354300e+02,-6.2694600000e-01,127.0734838,-0.6270267,08h28m17.64s,-00d37m37.30s,0.9353,1.0923,0.3237,17.140,null,null,3.963e-01,15.153,0.362,3.0,7.512e-01,9.996,0.147,7.4,1.149e+00,7.623,0.423,2.6,2.241e+00,2,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55311.824030,null,null,null,null,null,null,null
3,4,1.211002,12.899491,1.2703729600e+02,-5.8727900000e-01,127.0373711,-0.5869511,08h28m08.97s,-00d35m13.02s,1.0864,1.2076,0.2905,16.691,null,1.0,1.187e+00,15.193,0.362,3.0,9.419e-01,10.129,0.171,6.3,1.517e+00,7.163,null,1.9,1.572e+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55311.890246,null,null,null,null,null,null,null
4,5,0.751927,52.448542,1.2700116500e+02,-5.4764600000e-01,127.0013306,-0.5475187,08h28m00.32s,-00d32m51.07s,1.0355,1.1786,0.2576,16.992,null,null,1.350e+00,15.122,0.363,3.0,1.052e+00,10.226,0.183,5.9,8.287e-01,7.876,0.502,2.2,1.317e+00,2,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55311.956335,null,null,null,null,null,null,null
5,6,0.528381,-73.453438,1.2696502500e+02,-5.0801100000e-01,126.9648843,-0.5079692,08h27m51.57s,-00d30m28.69s,1.0089,1.1008,0.3431,16.556,null,0.9,1.088e+00,15.170,0.472,2.3,1.166e+00,9.801,0.132,8.2,2.176e+00,7.394,null,0.9,1.568e+00,2,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55312.022550,null,null,null,null,null,null,null
6,7,1.357294,86.670034,1.2689296500e+02,-4.2880800000e-01,126.8933414,-0.4287861,08h27m34.40s,-00d25m43.63s,1.0865,1.1765,0.2196,17.062,null,null,1.240e+00,14.857,null,1.5,8.895e-01,10.181,0.173,6.3,1.521e+00,7.322,0.329,3.3,1.505e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55312.154855,null,null,null,null,null,null,null
