,Name,Diam,Class,H,time,type,PHA
100,2010VT11,0.149,S*,21.5,-1,Apollo,Potentially
101,2010VD72,0.156,S*,21.4,-1,Aten,Potentially
102,2011CG2,0.156,S*,21.4,-1,Apollo,Potentially
103,2010PK9,0.13,S*,21.8,-1,Aten,Potentially
104,2010FF10,0.132,S*,21.76,-1,Apollo,Potentially
105,2010JE88,0.149,S*,21.5,-1,Apollo,Potentially
106,2010LK34,0.124,S*,21.9,-1,Apollo,Potentially
107,2001SQ3,0.142,S*,21.6,-1,Apollo,Potentially
108,2001JV1,0.15,S*,21.48,-1,Apollo,Potentially
109,2001GR2,0.142,S*,21.6,-1,Apollo,Potentially
110,2003SS84,0.13,S*,21.8,-1,Apollo,Potentially
111,2002UK11,0.136,S*,21.7,-1,Apollo,Potentially
112,2000KA,0.136,S*,21.7,-1,Apollo,Potentially
113,1998WB2,0.113,S*,22.1,-1,Apollo,Potentially
114,1998BY7,0.151,S*,21.47,-1,Apollo,Potentially
115,1995CR,0.13,S*,21.8,-1,Aten,Potentially
116,2000LF3,0.142,S*,21.6,-1,Apollo,Potentially
117,2000SL10,0.124,S*,21.9,-1,Apollo,Potentially
118,2007GQ3,0.118,S*,22.0,-1,Apollo,Potentially
119,2007EF,0.156,S*,21.4,-1,Aten,Potentially
120,2004HC39,0.149,S*,21.5,-1,Apollo,Potentially
121,2005WD,0.121,S*,21.95,-1,Amor,Potentially
122,2004SS,0.124,S*,21.9,-1,Amor,Potentially
123,2006AM4,0.13,S*,21.8,-1,Aten,Potentially
124,2014TN17,0.149,S*,21.5,-1,Apollo,Potentially
125,2014MP5,0.13,S*,21.8,-1,Amor,Potentially
126,2014OT111,0.136,S*,21.7,-1,Apollo,Potentially
127,2014SS1,0.136,S*,21.7,-1,Amor,Potentially
128,1994CJ1,0.156,S*,21.4,-1,Amor,Potentially
129,2014YW34,0.136,S*,21.7,-1,Apollo,Potentially
130,2015BZ310,0.147,S*,21.53,-1,Apollo,Potentially
131,2012BM86,0.125,S*,21.88,-1,Apollo,Potentially
132,2012FG58,0.118,S*,22.0,-1,Apollo,Potentially
133,2011TN9,0.157,S*,21.39,-1,Amor,Potentially
134,2014CU13,0.124,S*,21.9,-1,Apollo,Potentially
135,2012XS111,0.107,S*,22.21,-1,Aten,Potentially
136,2012KU12,0.142,S*,21.6,-1,Apollo,Potentially
137,2012KN11,0.124,S*,21.9,-1,Apollo,Potentially
138,2013QR1,0.142,S*,21.6,-1,Apollo,Potentially
139,2013NJ,0.104,S*,22.27,-1,Apollo,Potentially
140,2011WF69,0.142,S*,21.6,-1,Hungaria,One
141,2019NC1,0.137,S*,21.68,2021,Aten,Near
142,2020MV,0.062,S*,23.4,2020,Apollo,Near
143,2020QU4,0.142,S*,21.6,2020,Amor,Near
144,2020BN11,0.09,S*,22.6,2020,Apollo,Near
145,2020HL7,0.075,S*,23.0,2020,Amor,Near
146,2020HV1,0.094,S*,22.5,2020,Amor,Near
147,2020KZ7,0.094,S*,22.5,2020,Apollo,Near
148,2020OT7,0.045,S*,24.09,2020,Amor,Near
149,2020HE2,0.156,S*,21.4,2020,Apollo,Near
150,2020RK2,0.041,S*,24.29,2020,Apollo,Near
151,2020WT5,0.104,S*,22.28,2020,Apollo,Near
152,2019CL2,0.065,S*,23.3,2019,Apollo,Near
153,2019ER1,0.057,S*,23.6,2019,Amor,Near
154,2019JR7,0.113,S*,22.1,2019,Apollo,Near
155,2019JU5,0.047,S*,24.0,2019,Apollo,Near
156,2019KC,0.098,S*,22.4,2019,Apollo,Near
157,2019WH1,0.149,S*,21.5,2019,Amor,Near
158,2019WV4,0.062,S*,23.4,2019,Apollo,Near
159,2018TD4,0.118,S*,22.0,2019,Apollo,Near
160,2007TE66,0.144,S*,21.57,2019,Apollo,Near
161,2018XZ2,0.142,S*,21.6,2019,Amor,Near
162,2019FD,0.065,S*,23.3,2019,Aten,Near
163,2005GR33,0.108,S*,22.2,2018,Aten,Near
164,1999LK1,0.113,S*,22.1,2018,Aten,Near
165,1999FN19,0.091,S*,22.58,2018,Amor,Near
166,2018EC9,0.045,S*,24.1,2018,Amor,Near
167,2018LN2,0.068,S*,23.2,2018,Apollo,Near
168,2018WD1,0.025,S*,25.4,2018,Amor,Near
169,2018UQ2,0.124,S*,21.9,2018,Apollo,Near
170,2018JW1,0.098,S*,22.4,2018,Apollo,Near
171,2018AE3,0.156,S*,21.4,2018,Amor,Near
172,2018QT1,0.103,S*,22.3,2018,Aten,Near
173,2018AE4,0.034,S*,24.7,2018,Apollo,Near
174,2018NT1,0.124,S*,21.9,2018,Amor,Near
175,2018ML8,0.124,S*,21.9,2018,Amor,Near
176,2017XO2,0.098,S*,22.4,2017,Apollo,Near
177,2016YC8,0.036,S*,24.6,2017,Apollo,Near
178,2017DT34,0.008,S*,27.8,2017,Apollo,Near
179,2017DW34,0.068,S*,23.2,2017,Apollo,Near
180,2017VT14,0.073,S*,23.05,2017,Apollo,Near
181,2017DC36,0.109,S*,22.17,2017,Aten,Near
182,2017CX31,0.028,S*,25.1,2017,Apollo,Near
183,2017UQ4,0.047,S*,24.0,2017,Amor,Near
184,2017UC3,0.086,S*,22.7,2017,Apollo,Near
185,2017ST14,0.059,S*,23.5,2017,Apollo,Near
186,2017BM3,0.075,S*,23.0,2017,Aten,Near
187,2017AP19,0.057,S*,23.6,2017,Apollo,Near
