,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,3,4.723767,170.971415,2.6090416100e+02,-2.3418568000e+01,260.9043854,-23.4198639,17h23m37.05s,-23d25m11.51s,0.5314,0.5566,-0.1367,13.785,0.087,12.4,1.219e+00,14.248,0.296,3.7,5.314e-01,11.119,null,null,7.568e-01,7.659,null,0.4,7.555e-01,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55267.997485,426402767,14.643,0.029,13.920,0.022,13.603,0.041
1,8,2.387808,107.016007,2.6097234400e+02,-2.3422404000e+01,260.9730352,-23.4225981,17h23m53.53s,-23d25m21.35s,0.3037,0.3302,0.0494,13.044,0.062,17.4,8.535e+00,15.352,null,null,3.270e+00,11.045,null,null,5.936e+00,7.045,null,1.3,5.020e-01,1,0,0.000,0.000,0.000,0.000,hH00,AUUU,0,55268.394397,426402738,16.098,0.098,15.205,0.088,14.936,null
2,10,4.270424,54.787248,2.6098362400e+02,-2.3423029000e+01,260.9846802,-23.4223450,17h23m56.32s,-23d25m20.44s,0.2815,0.2893,-0.0570,13.262,0.051,21.4,2.147e+00,13.234,0.097,11.1,1.321e+00,10.965,null,0.6,1.133e+00,7.499,null,0.9,1.039e+00,1,0,0.000,0.000,0.000,0.000,000d,AAUU,0,55268.460613,426402743,14.219,0.033,13.497,0.022,13.360,0.035
3,11,2.383574,-38.076637,2.6099487700e+02,-2.3423651000e+01,260.9944320,-23.4231298,17h23m58.66s,-23d25m23.27s,0.1623,0.1675,-0.0515,12.559,0.035,30.9,1.114e+01,12.851,0.066,16.5,3.733e+00,10.989,null,0.7,1.312e+00,7.661,null,null,8.385e-01,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55268.526828,426402737,13.896,0.056,13.215,0.062,12.943,0.050
