,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,1.178887,5.786577,2.4722472700e+02,-2.6523400000e+01,247.2247639,-26.5230742,16h28m53.94s,-26d31m23.07s,1.3621,1.3452,0.4823,14.879,0.287,3.8,3.564e-01,14.969,0.451,2.4,1.459e+00,11.174,null,0.1,1.335e+00,7.223,0.291,3.7,4.345e+00,1,0,0.000,0.000,0.000,0.000,H0HH,BCUB,0,55254.500953,null,null,null,null,null,null,null
1,4,2.852418,-169.314913,2.4725722000e+02,-2.6530549000e+01,247.2570558,-26.5313276,16h29m01.69s,-26d31m52.78s,0.4935,0.5408,0.0910,13.806,0.105,10.3,5.848e+00,13.295,0.143,7.6,2.091e+00,11.021,null,null,5.990e-01,6.933,0.237,4.6,1.339e+00,1,0,0.000,0.000,0.000,0.000,H0HH,ABUB,0,55254.765688,null,null,null,null,null,null,null
2,5,2.779687,123.449449,2.4727333100e+02,-2.6534109000e+01,247.2740511,-26.5345346,16h29m05.77s,-26d32m04.32s,0.4013,0.3573,-0.0401,13.288,0.073,14.8,7.726e+00,14.182,0.223,4.9,1.748e+00,10.800,null,null,1.135e+00,null,null,null,null,2,0,0.000,0.000,0.000,null,00H0,ABUX,0,55254.897992,null,null,null,null,null,null,null
3,6,0.747731,128.535912,2.4728134700e+02,-2.6535888000e+01,247.2815286,-26.5360174,16h29m07.57s,-26d32m09.66s,0.3237,0.3470,-0.0980,13.395,0.071,15.4,1.275e+01,12.938,0.086,12.7,5.658e+00,11.090,null,null,1.155e+00,7.842,null,0.0,6.361e-01,2,0,0.000,0.000,0.000,0.000,H0HH,AAUU,0,55254.964081,null,null,null,null,null,null,null
4,8,1.061066,175.421305,2.4729734600e+02,-2.6539422000e+01,247.2973723,-26.5397158,16h29m11.37s,-26d32m22.98s,0.2714,0.3022,-0.0259,13.227,0.062,17.4,1.390e+01,12.489,0.065,16.6,9.169e+00,10.661,null,null,3.868e-01,7.843,null,null,1.047e+00,1,0,0.000,0.000,0.000,0.000,00HH,AAUU,0,55255.096512,null,null,null,null,null,null,null
5,9,1.775345,167.149692,2.4730529700e+02,-2.6541192000e+01,247.3054196,-26.5416728,16h29m13.30s,-26d32m30.02s,0.1595,0.1857,-0.0214,12.181,0.040,26.8,6.670e+00,11.999,0.042,25.6,6.535e+00,10.392,0.291,3.7,7.875e-01,6.820,0.206,5.3,1.217e+00,1,0,0.000,0.000,0.000,0.000,H0HH,AABB,0,55255.162600,null,null,null,null,null,null,null
6,12,3.283165,104.484379,2.4734478200e+02,-2.6549971000e+01,247.3457691,-26.5501991,16h29m22.98s,-26d33m00.72s,0.7935,0.8916,-0.0903,13.646,0.143,7.6,1.478e+00,14.606,0.353,3.1,9.661e-01,10.516,null,null,3.644e-01,7.355,null,1.2,8.165e-01,2,0,0.000,0.000,0.000,0.000,H0HH,BBUU,0,55255.493424,null,null,null,null,null,null,null
7,13,1.307024,-148.693446,2.4736042300e+02,-2.6553463000e+01,247.3602121,-26.5537732,16h29m26.45s,-26d33m13.58s,0.3784,0.4109,-0.0821,13.206,0.071,15.3,7.426e+00,13.442,0.172,6.3,1.896e+00,10.417,null,null,3.246e-01,7.098,0.267,4.1,1.140e+00,1,0,0.000,0.000,0.000,0.000,H0HH,ABUB,0,55255.625728,null,null,null,null,null,null,null
